pvalue,gene_name
0.015284352,PTGES
0.713117083,
0.03605527,LOR
0.88108249,WNT16
0.110997215,
0.869737097,
0.130971326,ECM1
0.270495958,FKBP2
0.012927328,FLJ20624
0.088805165,APPBP2
0.471919884,
0.853462764,FLJ20778
0.531316376,TSLRP
0.060697892,
0.722046543,
0.070372994,LOC51125
0.168609469,FLJ22584
0.650369258,PRNP
0.632499417,
0.1180325,LOC51109
0.034726046,HSPC111
0.091555655,KIAA0452
0.769674558,
0.225516208,
0.919041742,DXF68S1E
0.311550161,PRO0943
0.416965031,HTATSF1
0.284778007,AKAP7
0.103225987,OAZ
0.577258646,
0.342225544,KIAA0527
0.203471182,KIAA0759
0.940388565,DKFZP586C132
0.030760415,PRIM1
0.974221451,
0.148664175,FLJ23462
0.209606313,CDW92
0.399221122,
0.700793545,MRPL20
0.13241623,TLR2
0.276588231,LOC51290
0.013149565,
0.248712288,TNRC4
0.766193137,FLJ22195
0.158325251,FLJ23323
0.055898525,M6PR
0.140484159,MONDOA
0.779645796,MSX1
0.235265682,
0.426438543,EIF4G1
0.16200856,FBXL7
0.193906398,FLJ12409
0.831893749,
0.588163224,GPC1
0.430403624,
0.087581487,C17orf31
0.652679404,SLC22A6
0.072030954,LOC51657
0.305644503,NOX1
0.618513886,DKFZP434E221
0.35561299,LOC51114
0.052446602,BLVRA
0.614923312,
0.730625316,
0.367724478,
0.436602053,FLJ20758
0.125441094,LOC55815
0.609323737,CD8B1
0.49859343,KCNA3
0.87567642,
0.846936552,IGBP1
0.998168496,
0.37317547,PUM1
0.280550137,TUBB-5
0.07217592,
0.142522404,KRTHA8
0.20490612,
0.245144541,RPS6KA4
0.80951654,HSA277841
0.141029873,HSPA9B
0.35300928,HK2
0.126383364,KIAA0153
0.217776254,
0.071897251,VEGFC
0.380388299,KIAA0792
0.168144431,
0.524161303,
0.571795871,RGS13
0.226107327,ID4
0.838460169,
0.480162523,MGC4268
0.336337578,ADAM29
0.385546849,
0.145901824,LOC51082
0.005689382,C8orf2
0.536190218,H1F5
0.751374881,HYA22
0.094006037,
0.069535288,RAI1
0.497143016,AIM2
0.193245964,CEBPA
0.003217655,NOL5A
0.067403412,IKBKAP
0.565509915,SLC16A6
0.477033618,
0.040096321,ELAVL4
0.48323636,SSFA2
0.377264035,FCGBP
0.847656643,CED-6
0.778670276,GRIK2
0.172333384,
0.288924828,KIAA1335
0.562894603,FLJ11142
0.210264987,FLJ10055
0.420985205,
0.211652211,FLJ20081
0.747851363,DTYMK
0.916516145,KCNH3
0.766395835,RAI1
0.911550596,
0.309221078,PPP1R10
0.722447515,
0.676999717,FLJ11767
0.762775537,
0.638941244,
0.21883211,TWIST
0.55960338,TLR9
0.851333021,
0.06350979,
0.744184709,NPY1R
0.367124107,EMR1
0.090434863,
0.28920759,KIAA1354
0.991496286,H3FB
0.041104723,FLJ22269
0.103868224,MDS024
0.359717326,
0.132799079,SNX1
0.260671324,MRPS35
0.754791423,PRKG2
0.392338766,
0.179910461,
0.914531642,FLJ20637
0.944307088,LOC51291
0.597328182,FLJ12960
0.004714814,FLJ20986
0.018853292,
0.827610734,TLOC1
0.777786512,PMS2
0.563351723,PTPRR
0.547056792,KIAA0635
