"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Myeloid","log2fold_change","Auc"
"320","EHBP1L1","hurdle",0.0470348591120602,-2.628228,-2.105662,0.522566,0.523
"294","DHDH","hurdle",3.20588697510748e-05,-3.247051,-2.594762,0.652289,0.523
"278","CYB561A3","hurdle",0.000308729349074994,-2.365686,-1.840114,0.525572,0.523
"165","CCL8","hurdle",0.00115738907875418,-2.845337,-2.01503,0.830307,0.523
"79","ARPIN","hurdle",0.0038314484968394,-2.865902,-2.33204,0.533862,0.523
"12","AC109826.1","hurdle",0.00104563262204876,-3.254139,-2.728299,0.52584,0.523
"958","SLC41A2","hurdle",0.00116305984289132,-3.060783,-2.459278,0.601505,0.522
"953","SLC2A5","hurdle",0.000105618274580808,-3.253665,-2.643095,0.61057,0.522
"844","RETN","hurdle",1.91333856747731e-06,-3.321928,-2.809493,0.512435,0.522
"686","NAF1","hurdle",0.00132125741212145,-2.417645,-1.773766,0.643879,0.522
"553","KCNQ1","hurdle",3.22497336568703e-06,-3.217149,-2.536005,0.681144,0.522
"531","IRF4","hurdle",0.111694401948999,-2.845242,-2.294716,0.550526,0.522
"421","GMPR","hurdle",5.78148991050795e-05,-3.06411,-2.519677,0.544433,0.522
"399","GAB2","hurdle",0.000833769086546925,-3.055548,-2.384039,0.671509,0.522
"315","EAF2","hurdle",0.0447225186506823,-2.869071,-2.341747,0.527324,0.522
"172","CD1B","hurdle",3.5587197562663e-09,-3.320518,-2.660406,0.660112,0.522
"59","APOC2","hurdle",3.55871975626513e-09,-3.321928,-2.51856,0.803368,0.522
"1014","TCHH","hurdle",1.55173824459218e-10,-3.311805,-2.677546,0.634259,0.521
"756","PDGFC","hurdle",0.00113531671129916,-3.065681,-2.511622,0.554059,0.521
"696","NCK1-AS1","hurdle",0.00163812715111302,-2.989942,-2.391733,0.598209,0.521
"482","HOTAIRM1","hurdle",0.0014189822313201,-2.395628,-1.844976,0.550652,0.521
"140","CACNB4","hurdle",0.000114297705106535,-3.215654,-2.65334,0.562314,0.521
"118","BST1","hurdle",0.000345089348059681,-3.007719,-2.427377,0.580342,0.521
"110","BEST1","hurdle",0.00468241506265583,-2.758997,-2.193946,0.565051,0.521
"11","AC074289.1","hurdle",0.00561303550066135,-3.094825,-2.581968,0.512857,0.521
"1092","VNN2","hurdle",0.00021211128575062,-3.250237,-2.675699,0.574538,0.52
"975","SNX18","hurdle",0.00540084574104598,-2.507045,-1.968055,0.53899,0.52
"872","RP11-169D4.2","hurdle",6.6744274059384e-05,-3.263835,-2.756867,0.506968,0.52
"645","MFI2","hurdle",6.1460228738458e-06,-3.121799,-2.51343,0.608369,0.52
"331","EPHB2","hurdle",0.00272723406620659,-3.210836,-2.647488,0.563348,0.52
"270","CXCL11","hurdle",5.8331754959032e-06,-3.171747,-2.325579,0.846168,0.52
"1088","VENTX","hurdle",8.20773759941884e-08,-3.31758,-2.766936,0.550644,0.519
"994","ST18","hurdle",1.91333856747608e-06,-3.321928,-2.785503,0.536425,0.519
"937","SIGLEC8","hurdle",8.20773759942805e-08,-3.321928,-2.7574,0.564528,0.519
"881","RP11-76E17.3","hurdle",2.22617338519336e-07,-3.315215,-2.686553,0.628662,0.519
"879","RP11-701P16.2","hurdle",1.91758208099958e-07,-3.31484,-2.788761,0.526079,0.519
"708","NME8","hurdle",8.20773759941739e-08,-3.321928,-2.750274,0.571654,0.519
"677","MVB12B","hurdle",0.00142437160263315,-3.044285,-2.537029,0.507256,0.519
"582","LILRA4","hurdle",1.55173824459282e-10,-3.321928,-2.613562,0.708366,0.519
"455","HCAR3","hurdle",4.37738604709508e-05,-3.317081,-2.798921,0.51816,0.519
"223","CLEC4C","hurdle",3.55871975626525e-09,-3.321928,-2.706126,0.615802,0.519
"69","ARHGEF40","hurdle",0.0165904838046003,-2.805375,-2.289595,0.51578,0.519
"1042","TMEM86A","hurdle",0.00420301938272456,-3.032977,-2.467652,0.565325,0.518
"1028","TLR10","hurdle",0.00391737932102624,-3.275463,-2.709739,0.565724,0.518
"899","S100B","hurdle",0.000552382351207377,-3.127632,-2.470083,0.657549,0.518
"874","RP11-24F11.2","hurdle",1.68636836787687e-08,-3.297088,-2.616524,0.680564,0.518
"466","HIF1A-AS2","hurdle",5.53287167094951e-05,-3.29915,-2.714109,0.585041,0.518
"402","GABRB2","hurdle",4.26495765652347e-07,-3.284672,-2.682276,0.602396,0.518
"365","FCHO2","hurdle",0.00323649846128952,-2.437511,-1.934307,0.503204,0.518
"108","BCL2L14","hurdle",5.32395968504942e-07,-3.29024,-2.66121,0.62903,0.518
"44","ALPK3","hurdle",0.000505394782817781,-3.213819,-2.605965,0.607854,0.517
"1062","TRGV5","hurdle",0.016351801982183,-3.180295,-2.676087,0.504208,0.516
"895","S100A12","hurdle",8.20773759942372e-08,-3.315803,-2.558964,0.756839,0.516
"878","RP11-480C22.1","hurdle",3.55871975626634e-09,-3.321928,-2.736964,0.584964,0.516
"634","MARCO","hurdle",0.000157726619451585,-3.303054,-2.744608,0.558446,0.516
"565","L3MBTL4-AS1","hurdle",3.57287117170444e-06,-3.310471,-2.684543,0.625928,0.516
"554","KCNQ3","hurdle",2.68187068124978e-05,-3.24461,-2.585776,0.658834,0.516
"435","GPR157","hurdle",1.69513355128631e-05,-2.965946,-2.277161,0.688785,0.516
"268","CXCL1","hurdle",0.0026026038894044,-3.071581,-2.446231,0.62535,0.515
"160","CCL22","hurdle",0.000284292883435476,-3.294613,-2.674128,0.620485,0.515
"1054","TNFSF18","hurdle",8.20773759941718e-08,-3.319912,-2.762703,0.557209,0.514
"676","MTSS1","hurdle",0.00109217436594217,-2.363064,-1.844235,0.518829,0.514
"545","JCHAIN","hurdle",0.0114618287534557,-2.312878,-1.637137,0.675741,0.512
"511","IL12B","hurdle",4.55066148502634e-05,-3.321928,-2.773295,0.548633,0.511
"504","IGLV3-19","hurdle",0.0295938691914107,-3.166416,-2.635682,0.530734,0.51
"156","CCL17","hurdle",0.00099170504095372,-3.305737,-2.794145,0.511592,0.51
