"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Endothelial","log2fold_change","Auc"
"657","FER","hurdle",0.000174823525009674,-2.855598,-2.317058,0.53854,0.536
"611","EYA3","hurdle",8.79518245302889e-05,-2.866714,-2.25737,0.609344,0.536
"1682","SLC35E4","hurdle",9.06991025223614e-05,-3.13437,-2.588703,0.545667,0.535
"1628","SERPINF2","hurdle",1.62818389898679e-09,-3.163289,-2.521338,0.641951,0.535
"1578","RSAD2","hurdle",0.010288081373515,-2.864927,-2.360424,0.504503,0.535
"1558","RP11-473M20.9","hurdle",3.96855682398348e-08,-3.221816,-2.551955,0.669861,0.535
"1065","MAOA","hurdle",0.00142706385485042,-2.781304,-2.277404,0.5039,0.535
"980","KRBA2","hurdle",5.60042619722123e-07,-3.090362,-2.490421,0.599941,0.535
"797","HAGLROS","hurdle",2.66678890699361e-10,-3.21888,-2.519616,0.699264,0.535
"620","FAM118B","hurdle",1.07138457846231e-07,-2.992,-2.385007,0.606993,0.535
"520","DPY19L1","hurdle",2.36434715721853e-05,-3.074219,-2.497111,0.577108,0.535
"511","DNMT3A","hurdle",0.0028819512270642,-2.741234,-2.190396,0.550838,0.535
"495","DIP2A","hurdle",0.00091510316588346,-2.388112,-1.867449,0.520663,0.535
"470","DCBLD1","hurdle",7.93506569502804e-05,-3.045865,-2.460705,0.58516,0.535
"211","BTN2A2","hurdle",9.05971627527275e-05,-2.845399,-2.333488,0.511911,0.535
"119","APOL4","hurdle",1.68494426325897e-05,-3.152998,-2.519689,0.633309,0.535
"93","ANGEL1","hurdle",0.000172284508864147,-3.062079,-2.507705,0.554374,0.535
"91","ALS2CL","hurdle",2.09404733560284e-06,-3.189452,-2.55743,0.632022,0.535
"1886","TMEM178A","hurdle",3.85429026121243e-16,-3.279632,-2.475231,0.804401,0.534
"1551","ROPN1L","hurdle",5.2740419703472e-08,-3.254371,-2.705508,0.548863,0.534
"1366","PLEKHG5","hurdle",3.65349221704977e-08,-3.204398,-2.523932,0.680466,0.534
"1363","PLEKHA7","hurdle",4.17747336215932e-05,-3.114282,-2.539282,0.575,0.534
"1056","LZTR1","hurdle",3.48845445801935e-06,-2.887256,-2.229442,0.657814,0.534
"964","KL","hurdle",2.07860472978864e-11,-3.313495,-2.677843,0.635652,0.534
"887","IGKV3-20","hurdle",1.98040400893469e-05,-2.676627,-2.150246,0.526381,0.534
"752","GNA14","hurdle",6.95333856626637e-07,-3.248414,-2.607304,0.64111,0.534
"748","GLYCTK","hurdle",0.00024907449073706,-3.076712,-2.520114,0.556598,0.534
"725","GATSL3","hurdle",2.1273935141919e-06,-3.075254,-2.518395,0.556859,0.534
"435","CTIF","hurdle",0.00223276316935224,-3.035099,-2.468498,0.566601,0.534
"241","CA4","hurdle",2.51538429252763e-19,-3.272127,-2.267635,1.004492,0.534
"107","ANXA3","hurdle",0.000187919199664924,-2.396605,-1.848939,0.547666,0.534
"2068","ZNF532","hurdle",0.0051829283851404,-2.910354,-2.383957,0.526397,0.533
"2063","ZNF436","hurdle",0.00884572853144348,-3.01239,-2.508704,0.503686,0.533
"2059","ZNF347","hurdle",5.74346472850497e-06,-3.113825,-2.551146,0.562679,0.533
"2052","ZHX3","hurdle",1.82034691594642e-06,-3.083188,-2.518872,0.564316,0.533
"1995","USP31","hurdle",6.2317626238067e-05,-2.902245,-2.339345,0.5629,0.533
"1925","TOP1MT","hurdle",1.20600357904359e-05,-2.676694,-2.176,0.500694,0.533
"1838","TCTEX1D1","hurdle",2.56596584994376e-11,-3.310667,-2.675726,0.634941,0.533
"1829","TBKBP1","hurdle",1.18856260519645e-06,-3.095449,-2.51062,0.584829,0.533
"1799","SYCE1L","hurdle",6.28080181519599e-09,-3.026797,-2.321431,0.705366,0.533
"1792","SULT1C4","hurdle",9.60614648208227e-14,-3.265439,-2.474403,0.791036,0.533
"1663","SLC12A4","hurdle",0.000522899683251997,-2.926509,-2.407426,0.519083,0.533
"1602","SCN3B","hurdle",3.78140752645365e-09,-3.284677,-2.695914,0.588763,0.533
"571","EML1","hurdle",3.0026718578639e-06,-3.132794,-2.542252,0.590542,0.533
"430","CTD-2135D7.5","hurdle",2.14056825747762e-08,-3.266229,-2.651621,0.614608,0.533
"193","BEND7","hurdle",0.000303809823535661,-3.151636,-2.643976,0.50766,0.533
"1839","TDRD10","hurdle",7.44375753425377e-09,-3.290949,-2.699133,0.591816,0.532
"1618","SEMA6D","hurdle",0.000479639563389252,-3.155423,-2.590657,0.564766,0.532
"1542","RNF217","hurdle",0.000139693205504905,-3.030932,-2.49666,0.534272,0.532
"1488","RARA-AS1","hurdle",0.00282239373570459,-2.967927,-2.439282,0.528645,0.532
"1240","NRROS","hurdle",4.59581809251963e-05,-3.113639,-2.554159,0.55948,0.532
"1217","NOL4L","hurdle",1.24450709776627e-05,-2.598013,-2.071834,0.526179,0.532
"486","DGKE","hurdle",7.95051566595182e-05,-2.713183,-2.128643,0.58454,0.532
"472","DCLK2","hurdle",0.0176353166140837,-3.183888,-2.6828,0.501088,0.532
"424","CSF3","hurdle",1.02082453784691e-14,-3.298363,-2.472896,0.825467,0.532
"295","CCRL2","hurdle",4.22719072838185e-05,-3.012893,-2.455252,0.557641,0.531
"168","ATP13A3","hurdle",8.12627140939799e-05,-2.27836,-1.764885,0.513475,0.531
"103","ANO2","hurdle",4.67831441895112e-10,-3.304356,-2.746985,0.557371,0.531
"11","ABHD6","hurdle",0.00218602938764841,-3.137424,-2.632213,0.505211,0.531
"1893","TMEM246","hurdle",0.00200342888447682,-3.167555,-2.646407,0.521148,0.53
"1678","SLC2A14","hurdle",7.49636874493122e-05,-3.14047,-2.631003,0.509467,0.53
"1561","RP11-736K20.5","hurdle",5.15204809143638e-05,-3.189258,-2.655114,0.534144,0.53
"1017","LINC01235","hurdle",1.51857295651324e-14,-3.274172,-2.557805,0.716367,0.53
"945","KCNJ2","hurdle",7.7810278258017e-10,-3.258905,-2.465615,0.79329,0.53
"811","HIF3A","hurdle",6.18580181582619e-07,-3.256049,-2.655921,0.600128,0.53
"788","GTPBP2","hurdle",2.95767773528027e-07,-3.086297,-2.508165,0.578132,0.53
"716","GABRA2","hurdle",1.20978026848949e-09,-3.290849,-2.678986,0.611863,0.53
"629","FAM155A","hurdle",1.13793193451296e-07,-3.28073,-2.751697,0.529033,0.53
"137","ARHGEF28","hurdle",0.000174002064752363,-2.950856,-2.442813,0.508043,0.53
"4","AASS","hurdle",4.49391418657532e-05,-2.993184,-2.474679,0.518505,0.53
"1589","SAMD5","hurdle",2.28155178917057e-07,-3.194158,-2.639632,0.554526,0.529
"1562","RP11-798M19.6","hurdle",5.56253707765718e-05,-3.046183,-2.485195,0.560988,0.529
"1444","PTGS2","hurdle",2.90855120190376e-05,-2.98631,-2.439862,0.546448,0.529
"939","KAT2A","hurdle",1.3431621225696e-05,-2.642963,-2.13908,0.503883,0.529
"288","CCL21","hurdle",1.05887174348408e-05,-2.733195,-1.886086,0.847109,0.529
"19","AC116366.6","hurdle",6.04388950313824e-05,-3.095121,-2.545021,0.5501,0.529
"1014","LINC01013","hurdle",4.89455298305002e-09,-3.295789,-2.735693,0.560096,0.528
"228","C22orf34","hurdle",1.23212695172976e-07,-3.273726,-2.716583,0.557143,0.528
"1972","TUT1","hurdle",9.08700302117458e-08,-2.996619,-2.476717,0.519902,0.527
"1879","TMC7","hurdle",2.21019838879258e-07,-3.19008,-2.611988,0.578092,0.527
"1669","SLC18B1","hurdle",2.16951887837065e-05,-3.025185,-2.456925,0.56826,0.527
"1563","RP11-806H10.4","hurdle",3.60905945525816e-06,-3.132557,-2.574779,0.557778,0.527
"848","HSD17B14","hurdle",0.000612023891336049,-3.060914,-2.559114,0.5018,0.527
"43","ADAMTS7","hurdle",3.4129691050591e-05,-3.26173,-2.731461,0.530269,0.527
"1745","SPINK5","hurdle",3.09974520409878e-11,-3.301707,-2.735026,0.566681,0.526
"1491","RASA4B","hurdle",4.48563860361708e-08,-3.285587,-2.716441,0.569146,0.526
"401","CPAMD8","hurdle",0.000206230987785318,-3.168105,-2.639784,0.528321,0.526
"154","ASAP3","hurdle",0.000449449956567963,-3.007565,-2.505482,0.502083,0.526
"1673","SLC25A27","hurdle",0.000147615383660196,-3.054056,-2.490643,0.563413,0.525
"942","KB-1732A1.1","hurdle",1.00240616932102e-05,-3.146467,-2.636312,0.510155,0.525
"326","CDH26","hurdle",1.01080230183593e-07,-3.283303,-2.770337,0.512966,0.525
"234","C4orf36","hurdle",3.07820728349011e-06,-2.90922,-2.354307,0.554913,0.525
"1603","SCN4A","hurdle",7.88874697871076e-09,-3.31076,-2.787012,0.523748,0.524
"1232","NR3C2","hurdle",1.33197006451685e-05,-3.081512,-2.555236,0.526276,0.524
"1989","UNC5B","hurdle",4.63306908866469e-07,-2.766758,-2.185067,0.581691,0.523
"1229","NPR3","hurdle",9.52890483319416e-08,-3.202568,-2.662989,0.539579,0.523
"413","CRHBP","hurdle",2.59034476909461e-09,-3.297765,-2.767747,0.530018,0.523
"46","ADAMTSL2","hurdle",4.05525711480514e-05,-3.186212,-2.660746,0.525466,0.523
"1275","P2RY6","hurdle",7.66036107259192e-08,-3.196729,-2.696293,0.500436,0.522
"599","ESM1","hurdle",3.40507963721567e-12,-3.288688,-2.514536,0.774152,0.522
"1666","SLC14A1","hurdle",7.30622800428534e-08,-3.212362,-2.646806,0.565556,0.521
"85","AKR1C1","hurdle",1.30173038170123e-05,-3.22228,-2.69897,0.52331,0.521
"1760","SSUH2","hurdle",2.94660246250355e-15,-3.291046,-2.469635,0.821411,0.52
"547","EGFL8","hurdle",8.82839185308857e-08,-3.266932,-2.718839,0.548093,0.52
"172","ATP6V1C2","hurdle",2.4122523953481e-08,-3.281909,-2.772718,0.509191,0.52
