"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PVL","log2fold_change","Auc"
"732","NFIL3","hurdle",2.03857463464691e-05,-2.616589,-1.955708,0.660881,0.549
"651","MARVELD1","hurdle",3.45519682946467e-10,-2.936086,-2.08386,0.852226,0.549
"537","IL34","hurdle",3.69463857226488e-15,-3.030272,-2.03796,0.992312,0.549
"449","GLG1","hurdle",1.07918330784263e-05,-1.732771,-1.194722,0.538049,0.549
"416","FKBP7","hurdle",5.39960348129421e-08,-2.571773,-1.826467,0.745306,0.549
"366","EPN2","hurdle",6.22524448400786e-15,-2.288451,-1.545291,0.74316,0.549
"315","DLX5","hurdle",1.93361098176584e-16,-3.301381,-2.402055,0.899326,0.549
"287","CUEDC2","hurdle",6.47116421457395e-10,-1.52597,-1.023813,0.502157,0.549
"210","CDK18","hurdle",1.69032730319102e-14,-3.019499,-2.142948,0.876551,0.549
"150","C4orf27","hurdle",1.01664218057739e-06,-2.246085,-1.616316,0.629769,0.549
"96","ASAP2","hurdle",7.23747537237708e-08,-2.911249,-2.20349,0.707759,0.549
"42","AJUBA","hurdle",1.13651596681781e-10,-3.061767,-2.082649,0.979118,0.549
"30","ADGRL3","hurdle",4.57408953700652e-23,-3.289618,-2.183229,1.106389,0.549
"1078","STK11","hurdle",3.1044816281848e-06,-2.711325,-1.952877,0.758448,0.548
"796","PDE1B","hurdle",1.25114777599862e-15,-3.233176,-2.295746,0.93743,0.548
"697","MXRA7","hurdle",4.78545717906198e-05,-2.570313,-1.853362,0.716951,0.548
"686","MSC-AS1","hurdle",2.03473963360784e-14,-3.185625,-2.235432,0.950193,0.548
"454","GNB5","hurdle",5.7661393907195e-07,-2.454108,-1.808505,0.645603,0.548
"300","DCLK1","hurdle",1.46499255922807e-06,-2.91855,-2.12125,0.7973,0.548
"282","CTDSP2","hurdle",6.82054515257543e-08,-2.059301,-1.43799,0.621311,0.548
"214","CDS2","hurdle",1.95946782411019e-09,-2.00423,-1.373279,0.630951,0.548
"204","CD81","hurdle",1.93215184240887e-11,-0.878403,-0.3172978,0.5611052,0.548
"121","BDH2","hurdle",1.28117637335809e-05,-2.085367,-1.502732,0.582635,0.548
"1162","TRPV2","hurdle",5.15085744109901e-07,-2.756868,-2.131707,0.625161,0.547
"1036","SMIM12","hurdle",6.42583816381839e-11,-2.058832,-1.443274,0.615558,0.547
"872","PROS1","hurdle",2.27322089168606e-06,-2.569154,-1.846884,0.72227,0.547
"652","MBNL1-AS1","hurdle",1.84530758853568e-13,-3.114533,-2.190315,0.924218,0.547
"580","KLC1","hurdle",8.98000336370229e-10,-2.224498,-1.633654,0.590844,0.547
"528","IFIT2","hurdle",9.78182122495841e-08,-2.528977,-1.757309,0.771668,0.547
"451","GLT8D2","hurdle",3.30074155877663e-06,-2.688927,-2.115731,0.573196,0.547
"381","FAM127C","hurdle",3.68855814057901e-08,-2.559339,-1.793941,0.765398,0.547
"299","DCBLD2","hurdle",1.10328640435138e-08,-2.811121,-1.966311,0.84481,0.547
"46","AKAP6","hurdle",1.26091298288208e-17,-3.293809,-2.295996,0.997813,0.547
"1199","WDR13","hurdle",4.84529267624679e-06,-1.783609,-1.276803,0.506806,0.546
"1189","VCAM1","hurdle",8.15448648550921e-05,-2.532923,-1.944617,0.588306,0.546
"1175","TUSC3","hurdle",5.7250766170746e-07,-2.067138,-1.450195,0.616943,0.546
"1087","SVIL","hurdle",2.55011827461673e-05,-1.914221,-1.402646,0.511575,0.546
"1066","SPRY2","hurdle",4.16058553770521e-07,-2.928206,-2.134405,0.793801,0.546
"1049","SNX21","hurdle",1.34378624459648e-11,-2.509243,-1.732735,0.776508,0.546
"1008","SH2D3C","hurdle",2.19762241259235e-05,-2.692966,-1.974923,0.718043,0.546
"967","RYR2","hurdle",1.27372655314651e-09,-3.237311,-2.395263,0.842048,0.546
"935","RGS6","hurdle",1.0936335829509e-18,-3.281106,-2.245609,1.035497,0.546
"892","PYGM","hurdle",1.30695989130407e-16,-3.242799,-2.289165,0.953634,0.546
"656","MEF2D","hurdle",2.94554891609023e-06,-2.052418,-1.491197,0.561221,0.546
"630","LZTS2","hurdle",2.32399377019169e-07,-2.582485,-1.918968,0.663517,0.546
"608","LINC00702","hurdle",1.2050781465755e-11,-3.250074,-2.390055,0.860019,0.546
"538","IL6","hurdle",2.26918102800888e-09,-2.40643,-1.468506,0.937924,0.546
"453","GNB4","hurdle",0.00140446141444406,-2.158996,-1.600234,0.558762,0.546
"391","FARP1","hurdle",2.28246930246173e-07,-2.262751,-1.631178,0.631573,0.546
"346","EIF2B2","hurdle",5.54000795368228e-08,-2.399949,-1.742243,0.657706,0.546
"283","CTDSPL","hurdle",7.08561277927363e-08,-2.766803,-2.047778,0.719025,0.546
"138","C1orf198","hurdle",5.1540275930361e-08,-2.482036,-1.752537,0.729499,0.546
"1156","TRIM47","hurdle",1.0532576842747e-07,-2.036033,-1.444153,0.59188,0.545
"1126","TJP1","hurdle",1.2180725470979e-05,-1.795798,-1.294948,0.50085,0.545
"1110","TEAD3","hurdle",2.09718157424695e-09,-2.783724,-1.98252,0.801204,0.545
"1082","SUCLA2","hurdle",2.62138468378813e-10,-2.38508,-1.663899,0.721181,0.545
"1042","SNAPC2","hurdle",1.05338220628511e-07,-2.133254,-1.530947,0.602307,0.545
"1025","SLC6A9","hurdle",2.92972338246071e-15,-3.10752,-2.122728,0.984792,0.545
"1011","SH3PXD2A","hurdle",1.84158330989967e-06,-2.505121,-1.857583,0.647538,0.545
"779","OSTM1","hurdle",7.85609643826707e-08,-2.388578,-1.657757,0.730821,0.545
"718","NCK2","hurdle",6.60583249110457e-07,-2.313991,-1.691024,0.622967,0.545
"646","MAP9","hurdle",4.3431752581878e-08,-2.450488,-1.802523,0.647965,0.545
"627","LYPD1","hurdle",2.34350295020866e-17,-3.281066,-2.301105,0.979961,0.545
"605","LIN7A","hurdle",5.33642157918144e-10,-3.112129,-2.286194,0.825935,0.545
"583","KLHDC3","hurdle",2.77351703379256e-10,-2.088407,-1.476319,0.612088,0.545
"496","HIP1","hurdle",5.19567331297725e-07,-2.054561,-1.480214,0.574347,0.545
"480","HAAO","hurdle",4.31368242267296e-10,-3.10934,-2.32324,0.7861,0.545
"377","FAM122A","hurdle",8.05190209588779e-11,-2.64526,-1.807245,0.838015,0.545
"218","CFH","hurdle",9.15880246722983e-06,-2.026751,-1.309333,0.717418,0.545
"161","CACNB2","hurdle",9.9492274064359e-13,-3.271414,-2.4,0.871414,0.545
"117","BCAR1","hurdle",2.20101069438225e-06,-2.543121,-1.870169,0.672952,0.545
"89","ARL2","hurdle",6.1919704368336e-07,-1.900654,-1.365887,0.534767,0.545
"931","RGL3","hurdle",1.61842839974698e-09,-2.989036,-2.262223,0.726813,0.544
"911","RASSF4","hurdle",6.96277753362346e-06,-2.634623,-2.063895,0.570728,0.544
"831","PINK1","hurdle",1.32847933786219e-05,-2.438681,-1.833967,0.604714,0.544
"826","PHYH","hurdle",0.000166639031854805,-2.151216,-1.605221,0.545995,0.544
"764","NTRK3","hurdle",7.73664931829206e-20,-3.187344,-2.217468,0.969876,0.544
"759","NRXN2","hurdle",4.8069192377499e-11,-3.191004,-2.410725,0.780279,0.544
"685","MSC","hurdle",5.51859239230807e-08,-3.109877,-2.317072,0.792805,0.544
"460","GPI","hurdle",5.30852179881313e-10,-1.5582169,-0.9967985,0.5614184,0.544
"308","DES","hurdle",5.38476721829004e-25,-3.285597,-1.962032,1.323565,0.544
"134","C15orf39","hurdle",5.71240398416482e-08,-2.993909,-2.284604,0.709305,0.544
"84","ARHGEF40","hurdle",1.79228328465068e-05,-2.851443,-2.146846,0.704597,0.544
"66","APBB1","hurdle",1.92943052479875e-12,-2.670604,-1.883434,0.78717,0.544
"49","AMOTL2","hurdle",4.56515361612305e-09,-2.476589,-1.728119,0.74847,0.544
"48","ALDH2","hurdle",4.11352704042908e-08,-1.877628,-1.338337,0.539291,0.544
"1212","ZC2HC1A","hurdle",1.54367262649175e-09,-2.330226,-1.626253,0.703973,0.543
"1102","TBX18","hurdle",5.4715530991526e-15,-3.217934,-2.34121,0.876724,0.543
"1101","TBX15","hurdle",4.80673100430583e-13,-3.193068,-2.255784,0.937284,0.543
"963","RSRC1","hurdle",1.37890659627117e-07,-1.792449,-1.241005,0.551444,0.543
"943","RNF180","hurdle",0.000118227635261745,-3.021546,-2.364816,0.65673,0.543
"877","PRRX2","hurdle",3.34300237922884e-06,-3.091781,-2.354644,0.737137,0.543
"849","PLXND1","hurdle",7.8015367355083e-05,-2.161931,-1.64562,0.516311,0.543
"788","PCDH18","hurdle",6.08361414319112e-06,-3.018624,-2.287488,0.731136,0.543
"755","NRARP","hurdle",1.17315563783768e-08,-2.931926,-2.142931,0.788995,0.543
"658","MEOX2","hurdle",9.01062644313832e-06,-2.625884,-1.908335,0.717549,0.543
"525","IFFO1","hurdle",1.8037661440086e-05,-2.821784,-2.259807,0.561977,0.543
"499","HOOK3","hurdle",5.93594071645773e-07,-1.744332,-1.226108,0.518224,0.543
"307","DENND5A","hurdle",9.55286540561808e-07,-2.624754,-1.897086,0.727668,0.543
"71","ARC","hurdle",3.39760040691184e-06,-2.374972,-1.722712,0.65226,0.543
"69","APOL6","hurdle",1.2081323606695e-06,-2.090315,-1.524135,0.56618,0.543
"1183","USP11","hurdle",1.00269971645294e-06,-2.19528,-1.618444,0.576836,0.542
"1107","TCF7L1","hurdle",2.03383052615441e-07,-2.689065,-2.007366,0.681699,0.542
"1086","SVBP","hurdle",3.14089354001631e-07,-2.086335,-1.539105,0.54723,0.542
"1040","SMYD4","hurdle",7.46035973277739e-08,-2.735744,-2.097252,0.638492,0.542
"1014","SLC12A4","hurdle",8.32588057914538e-07,-2.92335,-2.187908,0.735442,0.542
"899","RAB6B","hurdle",5.19156444385415e-10,-3.170923,-2.345115,0.825808,0.542
"683","MRPL39","hurdle",1.80265043851889e-09,-2.554304,-1.911667,0.642637,0.542
"641","MAP2","hurdle",3.35531217146947e-12,-3.162236,-2.403316,0.75892,0.542
"581","KLF11","hurdle",3.47380607428175e-07,-2.664343,-2.001337,0.663006,0.542
"544","INF2","hurdle",1.30189339388911e-06,-2.379303,-1.77542,0.603883,0.542
"539","IL6R","hurdle",8.99634343775751e-10,-2.732212,-2.019124,0.713088,0.542
"481","HABP4","hurdle",1.41860736933853e-05,-2.951681,-2.326488,0.625193,0.542
"147","C21orf2","hurdle",2.6368176910808e-09,-2.303086,-1.644355,0.658731,0.542
"113","BATF3","hurdle",0.000390750941927279,-3.182566,-2.473086,0.70948,0.542
"101","ATP1A2","hurdle",1.97844691774995e-18,-3.299384,-2.357533,0.941851,0.542
"47","AKT3","hurdle",2.14306855995808e-05,-2.517317,-2.005339,0.511978,0.542
"1176","TWIST1","hurdle",0.000208179097779683,-3.17393,-2.488548,0.685382,0.541
"1079","STK38L","hurdle",3.28553098804111e-05,-2.322498,-1.722476,0.600022,0.541
"985","SEMA4C","hurdle",0.00023542621842974,-2.686115,-2.083663,0.602452,0.541
"818","PGM5","hurdle",8.54403113021264e-11,-2.915078,-2.119082,0.795996,0.541
"620","LRRC10B","hurdle",3.17558652092022e-13,-3.30269,-2.546634,0.756056,0.541
"612","LINC01436","hurdle",1.64157459901578e-15,-3.095116,-1.951731,1.143385,0.541
"546","INPP5A","hurdle",9.1886417880944e-10,-3.178294,-2.451891,0.726403,0.541
"359","EPB41L1","hurdle",7.40314305747843e-08,-2.676831,-1.924834,0.751997,0.541
"286","CTSO","hurdle",3.71087461967626e-07,-2.296936,-1.769531,0.527405,0.541
"182","CBX7","hurdle",6.55566451356013e-09,-2.793747,-2.120664,0.673083,0.541
"179","CBL","hurdle",0.00522601416001975,-2.665239,-2.095299,0.56994,0.541
"9","ACAN","hurdle",2.42348018445892e-15,-3.310098,-2.526426,0.783672,0.541
"856","PODN","hurdle",4.91849825201189e-06,-2.449749,-1.821201,0.628548,0.54
"821","PHC2","hurdle",0.000400106637309513,-2.560598,-2.000494,0.560104,0.54
"762","NTF3","hurdle",5.28920585136622e-16,-3.293217,-2.404552,0.888665,0.54
"748","NPY1R","hurdle",8.67806624970646e-14,-2.493836,-1.817769,0.676067,0.54
"715","NAE1","hurdle",1.71770653448212e-06,-2.175698,-1.591439,0.584259,0.54
"713","MYOZ1","hurdle",1.43541833118746e-19,-3.301566,-2.404729,0.896837,0.54
"501","HOXA10","hurdle",1.40349752917681e-08,-2.938085,-2.221787,0.716298,0.54
"485","HDAC5","hurdle",2.14700350362343e-09,-2.344133,-1.66772,0.676413,0.54
"406","FGF7","hurdle",1.54475182684665e-08,-2.60297,-1.661165,0.941805,0.54
"363","EPHA3","hurdle",9.50853603468881e-08,-3.250992,-2.559437,0.691555,0.54
"298","DBNDD2","hurdle",1.0305691218581e-11,-2.437389,-1.586081,0.851308,0.54
"292","CYP7B1","hurdle",3.78449422131726e-08,-3.02093,-2.254107,0.766823,0.54
"241","CNPY4","hurdle",9.18728293871514e-06,-2.648894,-2.055091,0.593803,0.54
"167","CAMK2N1","hurdle",1.54689097226377e-11,-2.211589,-1.476192,0.735397,0.54
"76","ARHGAP24","hurdle",0.00296362213122366,-2.768353,-2.201285,0.567068,0.54
"1220","ZNF618","hurdle",1.29111644879521e-06,-2.756761,-2.130539,0.626222,0.539
"1127","TLE1","hurdle",6.91576095174788e-06,-2.399592,-1.785748,0.613844,0.539
"1034","SMC6","hurdle",2.55044097263788e-05,-2.307881,-1.739037,0.568844,0.539
"649","MARCH2","hurdle",1.88435813055115e-05,-2.458035,-1.833053,0.624982,0.539
"575","KHDRBS3","hurdle",1.90359743641138e-05,-3.128993,-2.497131,0.631862,0.539
"574","KDELC2","hurdle",9.87077802494977e-05,-2.848354,-2.181853,0.666501,0.539
"515","HSPB7","hurdle",8.76399422951238e-22,-3.296346,-2.369726,0.92662,0.539
"494","HIC1","hurdle",1.36526573416177e-05,-2.833047,-2.162999,0.670048,0.539
"408","FHL2","hurdle",2.31099827799184e-05,-1.578931,-1.021856,0.557075,0.539
"390","FAM92A1","hurdle",3.05941744771451e-10,-2.789665,-2.126483,0.663182,0.539
"340","EGFR","hurdle",1.1831206097145e-06,-2.826488,-2.173351,0.653137,0.539
"54","ANGPTL2","hurdle",0.000122681733257643,-2.670253,-2.088705,0.581548,0.539
"1216","ZMAT3","hurdle",2.11821039275315e-06,-2.483714,-1.941351,0.542363,0.538
"1108","TDO2","hurdle",2.6375321580659e-11,-3.219535,-2.387021,0.832514,0.538
"1002","SETBP1","hurdle",0.0027237151287206,-2.688986,-2.11755,0.571436,0.538
"975","SCIN","hurdle",1.4167209989222e-07,-3.117293,-2.30284,0.814453,0.538
"950","RP11-467L13.7","hurdle",4.64126520437944e-05,-2.427363,-1.811301,0.616062,0.538
"860","PPM1L","hurdle",4.2206562597909e-07,-3.128512,-2.451777,0.676735,0.538
"442","GDF11","hurdle",3.02434700862064e-06,-2.9269,-2.186925,0.739975,0.538
"395","FBLN7","hurdle",4.52001181677626e-08,-2.905972,-2.338499,0.567473,0.538
"378","FAM126A","hurdle",0.00251003182064273,-2.570942,-2.001733,0.569209,0.538
"29","ADGRL2","hurdle",0.0013750011210323,-2.913994,-2.331388,0.582606,0.538
"1174","TUSC1","hurdle",1.21198273597235e-06,-2.606796,-1.99934,0.607456,0.537
"1157","TRIP10","hurdle",6.17270893598223e-08,-2.446306,-1.847961,0.598345,0.537
"1130","TMEM159","hurdle",6.13472104846586e-09,-1.766113,-1.229347,0.536766,0.537
"1096","TAF3","hurdle",0.000747501575921555,-2.192746,-1.681274,0.511472,0.537
"971","SAE1","hurdle",7.64200235457708e-06,-2.165484,-1.61561,0.549874,0.537
"929","RFXANK","hurdle",4.11837292838179e-09,-1.971377,-1.430277,0.5411,0.537
"925","RDH5","hurdle",7.17448530676795e-11,-3.168075,-2.341605,0.82647,0.537
"650","MARK1","hurdle",1.11387929040745e-11,-3.183276,-2.391791,0.791485,0.537
"642","MAP2K1","hurdle",1.54247694957659e-05,-2.315035,-1.793398,0.521637,0.537
"609","LINC00924","hurdle",1.83865481579455e-10,-3.269361,-2.538796,0.730565,0.537
"327","DZIP1","hurdle",2.69133681366954e-05,-3.127905,-2.437111,0.690794,0.537
"323","DTWD1","hurdle",1.00865741898632e-05,-2.08162,-1.566236,0.515384,0.537
"309","DGKG","hurdle",3.40702426086042e-12,-3.287935,-2.482618,0.805317,0.537
"168","CAMKK2","hurdle",6.99033811981158e-10,-2.663475,-1.918419,0.745056,0.537
"106","ATXN3","hurdle",5.61982805953839e-07,-1.935061,-1.421779,0.513282,0.537
"91","ARMCX1","hurdle",2.25430562885336e-05,-2.438258,-1.837416,0.600842,0.537
"1173","TULP3","hurdle",1.36692372212173e-07,-2.574845,-1.902139,0.672706,0.536
"1142","TMOD1","hurdle",2.1236329010367e-08,-3.131168,-2.329225,0.801943,0.536
"1019","SLC27A3","hurdle",2.20646896294674e-08,-2.390453,-1.844908,0.545545,0.536
"896","RAB23","hurdle",0.000892703318956557,-2.979888,-2.467628,0.51226,0.536
"834","PLA2G4C","hurdle",5.82677731129237e-08,-2.796505,-2.168422,0.628083,0.536
"814","PFKM","hurdle",2.05764729833063e-08,-2.69143,-2.043798,0.647632,0.536
"787","PBXIP1","hurdle",7.26384982935008e-05,-1.894468,-1.384925,0.509543,0.536
"769","OBSL1","hurdle",2.98713874679529e-06,-2.630154,-2.038231,0.591923,0.536
"767","OAF","hurdle",5.02057010735713e-06,-2.532331,-1.934292,0.598039,0.536
"700","MYBBP1A","hurdle",9.81495682720777e-05,-2.848531,-2.227343,0.621188,0.536
"681","MRPL2","hurdle",5.14270743722792e-06,-2.28317,-1.703709,0.579461,0.536
"592","LARP6","hurdle",1.74872772790501e-07,-2.908465,-2.289915,0.61855,0.536
"505","HOXD-AS2","hurdle",0.000303107100911275,-3.171094,-2.571932,0.599162,0.536
"479","GULP1","hurdle",2.07803271255687e-06,-2.711928,-2.063299,0.648629,0.536
"405","FGF13","hurdle",1.25506418000902e-08,-3.047633,-2.384499,0.663134,0.536
"398","FBXO3","hurdle",1.9745692689878e-06,-2.09506,-1.567299,0.527761,0.536
"354","ENO2","hurdle",1.36397303055359e-12,-2.695488,-1.961164,0.734324,0.536
"223","CHRD","hurdle",3.58419279378436e-07,-3.069741,-2.304711,0.76503,0.536
"195","CCL26","hurdle",1.15503785863127e-11,-3.256228,-2.455944,0.800284,0.536
"1164","TSPAN12","hurdle",0.00161848098486417,-2.632461,-2.122173,0.510288,0.535
"1100","TBC1D2B","hurdle",0.000167743842482037,-2.611428,-2.069765,0.541663,0.535
"1012","SHOX2","hurdle",0.00189357603153725,-3.129689,-2.565014,0.564675,0.535
"873","PRPH","hurdle",1.33525688086171e-19,-3.301588,-2.322167,0.979421,0.535
"783","PARD6G","hurdle",0.000832539641425701,-3.136176,-2.532223,0.603953,0.535
"690","MT1F","hurdle",4.88171327189678e-08,-2.184285,-1.489922,0.694363,0.535
"362","EPHA2","hurdle",1.78759850783752e-05,-2.838132,-2.225363,0.612769,0.535
"112","BAHCC1","hurdle",2.83461435521916e-07,-3.093419,-2.410527,0.682892,0.535
"92","ARMCX2","hurdle",0.000825927787646528,-2.400489,-1.88599,0.514499,0.535
"31","ADH1B","hurdle",1.37415126962668e-09,-2.871322,-1.925346,0.945976,0.535
"19","ADAMTS2","hurdle",0.00198387954096408,-2.884725,-2.31643,0.568295,0.535
"1111","TESC","hurdle",0.000919255404036492,-2.555443,-1.989451,0.565992,0.534
"1058","SOX5","hurdle",3.52615184699409e-11,-3.239355,-2.478776,0.760579,0.534
"1051","SOBP","hurdle",0.00129626267946972,-3.170798,-2.558639,0.612159,0.534
"841","PLEKHG3","hurdle",5.87627449055952e-07,-2.932848,-2.269417,0.663431,0.534
"827","PHYHIP","hurdle",3.90972997790721e-12,-3.13932,-2.295349,0.843971,0.534
"803","PDK2","hurdle",1.25664441529501e-10,-2.574524,-1.98632,0.588204,0.534
"472","GSTA4","hurdle",1.80839959838633e-09,-2.533191,-1.877783,0.655408,0.534
"434","GABRD","hurdle",6.124578358292e-12,-3.208352,-2.316361,0.891991,0.534
"424","FRK","hurdle",3.87963411422364e-10,-3.127657,-2.34793,0.779727,0.534
"344","EHD3","hurdle",5.21714434967941e-08,-3.107327,-2.426744,0.680583,0.534
"244","CNTLN","hurdle",5.52732148529323e-07,-2.669064,-2.018688,0.650376,0.534
"67","APCDD1","hurdle",0.0601042525970978,-3.10468,-2.603085,0.501595,0.534
"1196","WBP4","hurdle",1.39720729151508e-06,-2.236548,-1.726782,0.509766,0.533
"1159","TRNP1","hurdle",0.00128075784770183,-3.237348,-2.680293,0.557055,0.533
"1124","TIMP4","hurdle",1.28542767116483e-08,-3.153091,-2.482076,0.671015,0.533
"1115","TGFB3","hurdle",1.25146481221165e-05,-2.57452,-1.936592,0.637928,0.533
"1021","SLC39A13","hurdle",9.48447840977933e-05,-2.390636,-1.863809,0.526827,0.533
"884","PTGR1","hurdle",1.79937091967189e-07,-2.042113,-1.533239,0.508874,0.533
"737","NHS","hurdle",4.93009924683851e-07,-3.082807,-2.481625,0.601182,0.533
"680","MRPL10","hurdle",7.18544791995305e-08,-2.106887,-1.56971,0.537177,0.533
"573","KCTD10","hurdle",2.79957444894755e-07,-2.636727,-2.097618,0.539109,0.533
"547","IQSEC1","hurdle",1.4938088117017e-05,-2.629787,-2.070861,0.558926,0.533
"473","GSTM4","hurdle",7.02114705364906e-08,-2.561322,-1.946672,0.61465,0.533
"388","FAM228B","hurdle",2.68277067671983e-07,-2.682358,-2.062746,0.619612,0.533
"326","DYRK2","hurdle",0.0288380900640516,-2.825991,-2.317991,0.508,0.533
"236","CNGA1","hurdle",6.53725287051462e-17,-3.264609,-2.399152,0.865457,0.533
"111","BAG2","hurdle",8.29377319295829e-05,-2.925681,-2.319395,0.606286,0.533
"98","ASPA","hurdle",2.58515987594114e-11,-3.189764,-2.338432,0.851332,0.533
"97","ASB2","hurdle",1.10397771994103e-07,-3.27064,-2.61869,0.65195,0.533
"86","ARHGEF9","hurdle",0.000167312189842484,-2.449268,-1.923702,0.525566,0.533
"904","RARB","hurdle",1.95279271153913e-05,-3.173645,-2.561537,0.612108,0.532
"839","PLEKHA5","hurdle",2.41969494188781e-08,-2.352741,-1.69385,0.658891,0.532
"816","PGAM2","hurdle",4.32328363812497e-18,-3.280603,-2.373985,0.906618,0.532
"798","PDE4C","hurdle",1.57471542370871e-06,-2.858902,-2.261523,0.597379,0.532
"789","PCDH9","hurdle",2.24712377167906e-07,-3.146541,-2.434033,0.712508,0.532
"725","NELFA","hurdle",8.19579634978314e-08,-2.484612,-1.886498,0.598114,0.532
"665","MICAL2","hurdle",0.000599598845877577,-2.7655,-2.24084,0.52466,0.532
"621","LRRC17","hurdle",1.05910663655354e-05,-2.960053,-2.385177,0.574876,0.532
"610","LINC00989","hurdle",2.24511849404073e-15,-3.297606,-2.524261,0.773345,0.532
"607","LINC00310","hurdle",2.48931701188246e-16,-3.316035,-2.540221,0.775814,0.532
"536","IL17B","hurdle",4.39475509523208e-06,-3.250238,-2.702264,0.547974,0.532
"518","HVCN1","hurdle",6.10342695223148e-05,-2.953598,-2.368206,0.585392,0.532
"439","GBGT1","hurdle",1.84501822881489e-07,-3.08281,-2.444996,0.637814,0.532
"372","FABP3","hurdle",9.49314957175197e-10,-3.126341,-2.304144,0.822197,0.532
"265","CPSF4","hurdle",7.61804525363341e-07,-2.747827,-2.09115,0.656677,0.532
"228","CKMT2","hurdle",7.76792570975026e-13,-3.245887,-2.51014,0.735747,0.532
"183","CC2D2A","hurdle",1.14757376866457e-07,-3.048251,-2.408135,0.640116,0.532
"1022","SLC39A14","hurdle",0.000203651784362217,-2.808776,-2.250751,0.558025,0.531
"959","RP4-621F18.2","hurdle",6.27015809517706e-05,-3.196123,-2.628847,0.567276,0.531
"894","RAB11FIP2","hurdle",3.38075832862343e-08,-2.780103,-2.23284,0.547263,0.531
"830","PIGK","hurdle",5.79866329006709e-06,-2.371638,-1.871467,0.500171,0.531
"809","PDS5B","hurdle",3.35134296362123e-06,-2.211145,-1.687497,0.523648,0.531
"781","PACSIN2","hurdle",1.18391392051347e-07,-2.309193,-1.712468,0.596725,0.531
"743","NMNAT2","hurdle",1.8219742944633e-08,-3.285378,-2.704895,0.580483,0.531
"740","NIPSNAP3A","hurdle",0.000373038821414933,-2.388532,-1.881248,0.507284,0.531
"676","MPDZ","hurdle",1.00253720387212e-05,-2.565564,-1.967293,0.598271,0.531
"637","MAOA","hurdle",1.03165723139393e-12,-2.779262,-2.056308,0.722954,0.531
"618","LPL","hurdle",3.09034905905373e-09,-3.158912,-2.309126,0.849786,0.531
"596","LDOC1","hurdle",2.28888118372249e-09,-1.907185,-1.345985,0.5612,0.531
"493","HGF","hurdle",1.00907816768821e-06,-3.067114,-2.396261,0.670853,0.531
"475","GTDC1","hurdle",0.00252726282523316,-2.819968,-2.315098,0.50487,0.531
"433","GABBR1","hurdle",1.22416809466789e-06,-2.664091,-2.058051,0.60604,0.531
"404","FGF1","hurdle",1.09454030617317e-06,-3.157601,-2.488037,0.669564,0.531
"387","FAM212B","hurdle",1.93762048221248e-07,-3.190422,-2.618569,0.571853,0.531
"314","DLST","hurdle",1.03154233425556e-05,-2.349005,-1.795978,0.553027,0.531
"280","CTD-3064M3.7","hurdle",1.72929537281413e-09,-3.288909,-2.635247,0.653662,0.531
"240","CNP","hurdle",9.88736516479612e-07,-2.05764,-1.532464,0.525176,0.531
"136","C17orf82","hurdle",1.45467678841792e-10,-3.281514,-2.637458,0.644056,0.531
"81","ARHGEF10L","hurdle",0.000129509527402834,-2.989653,-2.427834,0.561819,0.531
"79","ARHGAP44","hurdle",4.72942218141622e-06,-3.150507,-2.529543,0.620964,0.531
"1023","SLC43A1","hurdle",2.20040404134243e-06,-2.905001,-2.341063,0.563938,0.53
"1015","SLC22A3","hurdle",2.79441432056518e-14,-3.298599,-2.576375,0.722224,0.53
"996","SERP2","hurdle",1.39412020744469e-06,-2.988088,-2.366501,0.621587,0.53
"984","SEMA4B","hurdle",2.4787609958239e-05,-2.645426,-2.077849,0.567577,0.53
"941","RNF150","hurdle",3.28556972358048e-05,-3.210178,-2.644335,0.565843,0.53
"891","PWWP2A","hurdle",1.67271552057646e-05,-2.434971,-1.890168,0.544803,0.53
"790","PCID2","hurdle",2.01182681657236e-05,-2.167532,-1.666858,0.500674,0.53
"750","NR2F1","hurdle",8.45016657036731e-05,-2.704028,-2.159529,0.544499,0.53
"647","MAPK10","hurdle",2.85684642466114e-06,-3.05852,-2.49459,0.56393,0.53
"631","MAEA","hurdle",1.85182599887223e-05,-2.376151,-1.861612,0.514539,0.53
"564","JPH2","hurdle",1.29867608010065e-09,-3.261359,-2.596223,0.665136,0.53
"541","IMPA2","hurdle",1.6175270728095e-08,-2.991811,-2.301386,0.690425,0.53
"403","FGD4","hurdle",2.37481461314895e-05,-2.564136,-2.023883,0.540253,0.53
"386","FAM20C","hurdle",0.00166263089414705,-2.727748,-2.187691,0.540057,0.53
"376","FAIM","hurdle",4.98687579937543e-06,-2.631656,-2.069208,0.562448,0.53
"364","EPHB6","hurdle",0.00102213359450257,-3.085398,-2.552222,0.533176,0.53
"310","DIAPH2","hurdle",3.48611613276205e-05,-2.618703,-2.112058,0.506645,0.53
"187","CCDC28B","hurdle",0.00016249241553562,-2.858332,-2.324762,0.53357,0.53
"154","C9orf85","hurdle",1.61755728390041e-05,-2.700616,-2.157239,0.543377,0.53
"1192","VGLL3","hurdle",0.000223359647217919,-3.067922,-2.494184,0.573738,0.529
"1160","TRPC4","hurdle",7.49240790099489e-10,-3.317255,-2.722193,0.595062,0.529
"1147","TNFRSF21","hurdle",0.000351893560665346,-3.037659,-2.53734,0.500319,0.529
