"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PVL","log2fold_change","Auc"
"774","OPTN","hurdle",2.38386473746728e-24,-1.4886296,-0.5278279,0.9608017,0.621
"758","NRIP2","hurdle",1.16336026197431e-55,-3.286874,-1.367534,1.91934,0.621
"645","MAP7D3","hurdle",2.46347251512005e-31,-2.765545,-1.222233,1.543312,0.621
"102","ATP1B2","hurdle",1.40381088360924e-45,-3.168605,-1.323712,1.844893,0.621
"32","ADH5","hurdle",5.70006568240769e-24,-1.4989871,-0.5785454,0.9204417,0.621
"23","ADCY3","hurdle",7.51305391647407e-39,-2.906809,-1.217281,1.689528,0.621
"1209","YWHAQ","hurdle",7.12086094274921e-15,-0.2453351,0.2613082,0.5066433,0.62
"1063","SPECC1","hurdle",1.29297964199278e-46,-2.82241,-1.103181,1.719229,0.62
"727","NET1","hurdle",2.15127161373219e-33,-1.23014,-0.164005,1.066135,0.62
"582","KLF9","hurdle",1.06057611366623e-22,-1.3980549,-0.4605808,0.9374741,0.62
"491","HEY2","hurdle",1.05662240230123e-43,-3.115917,-1.350466,1.765451,0.62
"445","GGT5","hurdle",5.93856421512526e-36,-2.0425399,-0.5072327,1.5353072,0.62
"28","ADGRF5","hurdle",8.66399736554896e-27,-2.2899326,-0.9260783,1.3638543,0.62
"752","NR2F2-AS1","hurdle",1.10829207670121e-38,-3.015812,-1.27774,1.738072,0.619
"675","MOCS1","hurdle",7.30032134323637e-47,-3.086587,-1.250245,1.836342,0.619
"329","EBF2","hurdle",8.18821109943311e-52,-3.211025,-1.353232,1.857793,0.619
"22","ADAP2","hurdle",6.33668539870049e-28,-2.814761,-1.292705,1.522056,0.619
"1219","ZNF503","hurdle",5.82933814308968e-35,-2.442218,-1.019335,1.422883,0.618
"960","RRAD","hurdle",1.27324780997351e-42,-2.896748,-1.123052,1.773696,0.618
"771","OLFML2A","hurdle",9.42587105087877e-35,-2.802874,-1.154867,1.648007,0.618
"587","LAMA4","hurdle",1.41384504794975e-25,-2.316475,-0.929702,1.386773,0.618
"219","CFL2","hurdle",6.00417593460872e-29,-2.53047,-1.102874,1.427596,0.618
"520","ID1","hurdle",5.36882112473568e-19,-1.3096778,-0.3690397,0.9406381,0.617
"50","ANGPT1","hurdle",2.19527699312501e-57,-3.234163,-1.333328,1.900835,0.617
"978","SCPEP1","hurdle",3.81830126678083e-26,-1.5324688,-0.5787918,0.953677,0.616
"498","HNRNPH3","hurdle",1.25489604672709e-19,-0.9144184,-0.2322197,0.6821987,0.616
"1158","TRIP6","hurdle",1.64278738109173e-19,-1.9073056,-0.8912057,1.0160999,0.615
"1075","ST6GALNAC6","hurdle",4.41770131937174e-29,-2.456724,-1.077707,1.379017,0.615
"815","PGAM1","hurdle",2.29302433895973e-18,-0.7739999,-0.1777418,0.5962581,0.615
"1071","SSPN","hurdle",9.01526925875797e-22,-2.0234946,-0.9109743,1.1125203,0.614
"848","PLXDC1","hurdle",7.56126679154925e-37,-2.763195,-1.001663,1.761532,0.614
"775","OR51E1","hurdle",2.66188052533446e-54,-3.272216,-1.391568,1.880648,0.614
"463","GPR20","hurdle",8.25556143193795e-58,-3.295297,-1.478762,1.816535,0.614
"393","FAT1","hurdle",4.89010020892983e-37,-2.930202,-1.273087,1.657115,0.614
"306","DEK","hurdle",1.22109420077878e-18,-0.9760207,-0.2564657,0.719555,0.614
"70","APOLD1","hurdle",1.54732909023217e-19,-2.1031889,-0.8458146,1.2573743,0.614
"1138","TMEM47","hurdle",1.12027538438929e-29,-2.580472,-1.147661,1.432811,0.613
"754","NR4A1","hurdle",4.49245410902504e-13,-0.02341556,0.55785028,0.58126584,0.613
