"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.CAFs","log2fold_change","Auc"
"1421","TULP3","hurdle",9.73755864155447e-06,-2.564237,-1.851399,0.712838,0.541
"1325","TBX18","hurdle",1.79953650875666e-05,-3.189004,-2.386393,0.802611,0.541
"1300","STT3A","hurdle",0.000771661193178608,-2.232007,-1.680145,0.551862,0.541
"1293","STAT6","hurdle",0.000251255901428841,-2.242146,-1.615435,0.626711,0.541
"1245","SMPD1","hurdle",0.00275855155563841,-2.442994,-1.867962,0.575032,0.541
"1169","SCD5","hurdle",0.00323253791079957,-2.984881,-2.352405,0.632476,0.541
"1148","RSAD2","hurdle",6.91351414862251e-08,-2.868888,-1.949041,0.919847,0.541
"1038","PRKG1","hurdle",5.3639809016893e-05,-2.815684,-2.132322,0.683362,0.541
"1010","PML","hurdle",0.00674625851287776,-2.150697,-1.640587,0.51011,0.541
"991","PLEKHM2","hurdle",6.99255341852196e-06,-2.78153,-2.02332,0.75821,0.541
"878","NLGN2","hurdle",1.45774921527978e-05,-3.031176,-2.263064,0.768112,0.541
"872","NHLRC3","hurdle",4.39027389639705e-06,-2.061524,-1.507051,0.554473,0.541
"855","NCALD","hurdle",0.0105635288467565,-2.705218,-2.166975,0.538243,0.541
"812","MMP16","hurdle",2.41140449184071e-08,-3.213277,-2.40008,0.813197,0.541
"781","MED13","hurdle",0.00144524182248927,-2.134783,-1.591774,0.543009,0.541
"740","LRRK1","hurdle",0.000253644217462425,-2.992617,-2.246265,0.746352,0.541
"562","GREM2","hurdle",2.56923586947944e-11,-3.308191,-2.420951,0.88724,0.541
"434","EXT1","hurdle",0.00036965866788198,-2.921172,-2.296838,0.624334,0.541
"187","CALCOCO1","hurdle",0.000103526628696278,-2.17135,-1.560989,0.610361,0.541
"168","C1QTNF2","hurdle",7.17403160843485e-05,-3.03979,-2.377778,0.662012,0.541
"160","C14orf37","hurdle",5.79694279992429e-06,-3.182843,-2.447361,0.735482,0.541
"98","APPL2","hurdle",4.05775031753908e-05,-2.502894,-1.776315,0.726579,0.541
"24","ADAMTS4","hurdle",0.0175417168791464,-2.190805,-1.639463,0.551342,0.541
"1295","STEAP2","hurdle",1.41590361962826e-05,-2.331061,-1.647291,0.68377,0.54
"1158","S1PR2","hurdle",6.45317175700696e-09,-3.119068,-2.3383,0.780768,0.54
"1118","RIN2","hurdle",6.17189442868395e-07,-2.411255,-1.689799,0.721456,0.54
"1096","RASSF8-AS1","hurdle",0.0010633125350124,-3.049041,-2.321638,0.727403,0.54
"1059","PTGS2","hurdle",5.73359262417945e-05,-2.966053,-2.189498,0.776555,0.54
"909","OLFML2A","hurdle",9.09387479180281e-06,-2.620809,-1.923107,0.697702,0.54
"499","FNDC4","hurdle",0.000107096384934909,-3.104988,-2.378403,0.726585,0.54
"483","FIGF","hurdle",2.24693900083563e-21,-3.306569,-2.071158,1.235411,0.54
"222","CDK2AP1","hurdle",0.00688631532510326,-2.710809,-2.068948,0.641861,0.54
"127","B3GNT9","hurdle",3.50956696414796e-06,-3.146295,-2.377605,0.76869,0.54
"112","ARL2","hurdle",3.92360800261454e-06,-1.893614,-1.314451,0.579163,0.54
"108","ARHGEF25","hurdle",0.0405559514847575,-2.872444,-2.261913,0.610531,0.54
"1447","VIM-AS1","hurdle",0.0352191723764371,-2.551763,-2.009932,0.541831,0.539
"1268","SPIN1","hurdle",0.000882226669638723,-2.150794,-1.624141,0.526653,0.539
"1256","SOCS5","hurdle",4.07842729283853e-07,-2.801278,-2.061578,0.7397,0.539
"1255","SOBP","hurdle",2.43580173463416e-07,-3.17832,-2.369534,0.808786,0.539
"1145","RPA2","hurdle",0.00169541921705728,-1.985481,-1.47104,0.514441,0.539
"1142","RP4-621F18.2","hurdle",2.98083229433669e-09,-3.21424,-2.360797,0.853443,0.539
"1102","RBP5","hurdle",4.427842496246e-08,-2.665334,-1.830968,0.834366,0.539
"1091","RARS2","hurdle",0.0685851713948827,-2.462585,-1.932223,0.530362,0.539
"1081","RAB28","hurdle",0.0112386950678364,-2.411991,-1.828274,0.583717,0.539
"1037","PRKD3","hurdle",0.00438981550178673,-2.472744,-1.827719,0.645025,0.539
"1025","PRDM6","hurdle",1.75719143136994e-07,-3.242902,-2.422866,0.820036,0.539
"863","NES","hurdle",0.00572324407665594,-2.389286,-1.848603,0.540683,0.539
"682","KLK4","hurdle",6.33410133657926e-18,-3.318464,-2.354813,0.963651,0.539
"681","KLHL21","hurdle",0.00163499087826419,-2.719304,-2.135151,0.584153,0.539
"564","GSC","hurdle",0.000188207635257183,-3.124452,-2.380104,0.744348,0.539
"383","DPEP1","hurdle",2.01432785698735e-13,-3.203482,-2.231445,0.972037,0.539
"47","AHDC1","hurdle",0.00837495642048985,-2.625197,-2.071397,0.5538,0.539
"1463","WWC2","hurdle",0.00768956383907444,-2.626018,-2.064617,0.561401,0.538
"1456","WDR81","hurdle",4.69199773841018e-05,-2.984587,-2.299073,0.685514,0.538
"1334","TENM3","hurdle",0.000385130611722076,-3.188838,-2.531879,0.656959,0.538
"1317","TAF12","hurdle",0.000307545222794216,-1.849102,-1.33029,0.518812,0.538
"1233","SLC7A6","hurdle",0.0070759752940786,-2.555306,-2.01574,0.539566,0.538
"1064","PTPN14","hurdle",0.010578479113785,-2.380415,-1.867768,0.512647,0.538
"927","PAK3","hurdle",6.85473197746067e-05,-3.171427,-2.456289,0.715138,0.538
"852","NBPF10","hurdle",1.22926182846878e-06,-2.680789,-1.918596,0.762193,0.538
"821","MPP6","hurdle",0.00114635728201494,-3.116327,-2.405832,0.710495,0.538
"626","IGSF10","hurdle",1.12021157645096e-14,-3.218292,-2.215095,1.003197,0.538
"620","IGF2R","hurdle",0.000892141242106538,-2.427401,-1.901525,0.525876,0.538
"575","HAND2-AS1","hurdle",1.92923095800259e-12,-3.299943,-2.457186,0.842757,0.538
"445","FAM110B","hurdle",4.93869977589916e-07,-2.541221,-1.790685,0.750536,0.538
"373","DIXDC1","hurdle",0.000243781403248411,-2.504721,-1.862497,0.642224,0.538
"357","DACT3","hurdle",6.13543377080989e-05,-3.081873,-2.362044,0.719829,0.538
"326","CSTA","hurdle",0.0015375952865837,-2.927904,-2.25802,0.669884,0.538
"317","CROCC","hurdle",7.38442763165179e-05,-2.906548,-2.176122,0.730426,0.538
"217","CD99L2","hurdle",0.00216062337193381,-2.924101,-2.289801,0.6343,0.538
"164","C19orf12","hurdle",0.000108493410858431,-2.688237,-2.04545,0.642787,0.538
"123","ATP10D","hurdle",0.263154900800772,-2.791622,-2.257005,0.534617,0.538
"116","ARNT","hurdle",0.00111311188090521,-2.587328,-1.988077,0.599251,0.538
"45","AGPS","hurdle",4.09463512886879e-05,-2.599048,-1.987672,0.611376,0.538
"1496","ZNF532","hurdle",0.000194168102528382,-2.885611,-2.185655,0.699956,0.537
"1489","ZHX1","hurdle",0.00267000418955683,-2.249666,-1.738202,0.511464,0.537
"1234","SLCO3A1","hurdle",0.00630592898379145,-2.55914,-1.959371,0.599769,0.537
"1217","SLC16A2","hurdle",6.171581162069e-08,-3.003537,-2.22384,0.779697,0.537
"1077","PXK","hurdle",0.000411319986228548,-2.611087,-1.969301,0.641786,0.537
"1014","POFUT1","hurdle",1.45395944301063e-07,-2.76783,-1.974718,0.793112,0.537
"995","PLOD3","hurdle",0.00173120319236316,-2.20885,-1.684898,0.523952,0.537
"968","PI4K2A","hurdle",0.000168297910416042,-3.033713,-2.450342,0.583371,0.537
"931","PANX1","hurdle",1.70457710296726e-05,-2.935576,-2.229641,0.705935,0.537
"862","NEO1","hurdle",0.000460934384867869,-2.899758,-2.23513,0.664628,0.537
"764","MAN2B2","hurdle",3.97411064345457e-05,-2.671869,-2.05891,0.612959,0.537
"677","KIRREL","hurdle",0.00160267302476579,-3.084365,-2.484564,0.599801,0.537
"640","ISM1","hurdle",7.301403248499e-05,-3.259777,-2.50573,0.754047,0.537
"540","GLIS3","hurdle",0.0075025148484033,-3.019697,-2.43576,0.583937,0.537
"374","DKK2","hurdle",2.08766096826283e-12,-3.287699,-2.379856,0.907843,0.537
"262","CLIP3","hurdle",2.21538848430384e-05,-3.09721,-2.354802,0.742408,0.537
"172","C1QTNF7","hurdle",1.52629915644267e-07,-3.229644,-2.402442,0.827202,0.537
"150","BRI3","hurdle",1.94399814584598e-05,-1.611366,-1.107435,0.503931,0.537
"101","ARFGAP1","hurdle",1.25925239525336e-06,-2.632874,-1.922995,0.709879,0.537
"74","ANKFY1","hurdle",9.74195483875972e-05,-2.705781,-2.06332,0.642461,0.537
"63","ALG2","hurdle",0.000327638150862147,-2.324575,-1.795228,0.529347,0.537
"18","ACVR2A","hurdle",2.45965736643795e-07,-2.989976,-2.213284,0.776692,0.537
"1487","ZFPM2","hurdle",4.16827379362932e-06,-3.167689,-2.490292,0.677397,0.536
"1319","TANC2","hurdle",0.00490436543430734,-2.7752,-2.186743,0.588457,0.536
"1298","STOML1","hurdle",0.00254030685247052,-2.96019,-2.361895,0.598295,0.536
"1254","SOAT1","hurdle",0.0704051760588289,-2.561243,-2.020858,0.540385,0.536
"1086","RAB7B","hurdle",1.10873990927202e-05,-3.213963,-2.533438,0.680525,0.536
"1034","PRKCA","hurdle",0.031640666281022,-2.98922,-2.371446,0.617774,0.536
"1006","PLXNB2","hurdle",0.00124741576306341,-2.067605,-1.551007,0.516598,0.536
"943","PDE1A","hurdle",0.0862569142494213,-2.909548,-2.326502,0.583046,0.536
"933","PAPPA","hurdle",4.07822760703754e-07,-3.257694,-2.529692,0.728002,0.536
"820","MPDZ","hurdle",0.000988704203717283,-2.5536,-1.946107,0.607493,0.536
"544","GMPPA","hurdle",0.000544940788023011,-2.391672,-1.862315,0.529357,0.536
"420","EML1","hurdle",0.000264739892684406,-3.087846,-2.467241,0.620605,0.536
"229","CDON","hurdle",0.000864939664717646,-3.019791,-2.337953,0.681838,0.536
"128","B4GALT2","hurdle",0.0172329021462028,-2.992932,-2.420937,0.571995,0.536
"106","ARHGAP28","hurdle",1.37904725331785e-05,-3.259075,-2.529562,0.729513,0.536
"1469","XXYLT1","hurdle",0.00536740022162716,-2.945802,-2.335931,0.609871,0.535
"1332","TDRD3","hurdle",6.53072381061032e-05,-2.665855,-2.064428,0.601427,0.535
"1079","QSER1","hurdle",0.00471915780837211,-2.726887,-2.126589,0.600298,0.535
"410","EGFLAM","hurdle",0.000342958721422981,-2.752082,-2.052355,0.699727,0.535
"331","CTIF","hurdle",0.0188505098529396,-2.98896,-2.427134,0.561826,0.535
"141","BICD1","hurdle",0.00122457175009992,-2.829845,-2.20529,0.624555,0.535
"119","ASPA","hurdle",0.000105546245059983,-3.157182,-2.421641,0.735541,0.535
"42","AFAP1","hurdle",0.0193217296077757,-2.637339,-2.059564,0.577775,0.535
"1481","ZDHHC7","hurdle",0.0116584962820109,-2.644594,-2.110885,0.533709,0.534
"1401","TRIL","hurdle",5.30761253238712e-08,-2.839638,-2.089288,0.75035,0.534
"1387","TNRC6C","hurdle",0.000100112995104693,-2.189866,-1.610714,0.579152,0.534
"1260","SORCS2","hurdle",9.730717063091e-09,-3.308444,-2.545668,0.762776,0.534
"1229","SLC41A2","hurdle",0.0512569750996678,-3.068153,-2.535646,0.532507,0.534
"1124","RNF212","hurdle",1.06314477412781e-06,-3.071802,-2.346501,0.725301,0.534
"743","LSAMP","hurdle",3.76582444318442e-11,-3.306432,-2.498395,0.808037,0.534
"556","GPR153","hurdle",1.64487147184011e-07,-3.256184,-2.528468,0.727716,0.534
"430","ERAP1","hurdle",0.00775314962678982,-2.773846,-2.190982,0.582864,0.534
"408","EFS","hurdle",6.50818887243957e-05,-2.925683,-2.274995,0.650688,0.534
"399","ECHDC1","hurdle",0.0134380359707846,-2.175542,-1.672085,0.503457,0.534
"272","CNTLN","hurdle",0.000591921541027401,-2.653142,-2.019696,0.633446,0.534
"266","CMKLR1","hurdle",3.37820783479101e-07,-3.163686,-2.389635,0.774051,0.534
"252","CHST3","hurdle",1.15508236558834e-05,-3.092498,-2.421908,0.67059,0.534
"87","AOX1","hurdle",1.64047115202649e-05,-3.182792,-2.510243,0.672549,0.534
"1436","UST","hurdle",2.53213566793987e-08,-3.249117,-2.478221,0.770896,0.533
"1404","TRIP10","hurdle",0.00454416748526745,-2.426262,-1.90252,0.523742,0.533
"1402","TRIM2","hurdle",0.00534402908600259,-2.883135,-2.311913,0.571222,0.533
"1324","TBX15","hurdle",1.98686047248399e-06,-3.156518,-2.341517,0.815001,0.533
"1321","TBC1D16","hurdle",0.000838785257859202,-2.729713,-2.135652,0.594061,0.533
"1288","ST6GAL2","hurdle",8.94001472220288e-08,-3.31791,-2.63669,0.68122,0.533
"1249","SNHG18","hurdle",2.10288450513936e-05,-2.805183,-2.131415,0.673768,0.533
"1220","SLC36A1","hurdle",2.12530478605058e-08,-3.225442,-2.446372,0.77907,0.533
"1017","PPFIA2","hurdle",0.00526376047604968,-3.259805,-2.640615,0.61919,0.533
"989","PLEKHG2","hurdle",0.0465177021809833,-2.605359,-2.080882,0.524477,0.533
"970","PIEZO2","hurdle",8.59727412304228e-11,-3.10683,-2.229506,0.877324,0.533
"818","MOB3B","hurdle",7.98352212502782e-07,-2.819874,-2.045493,0.774381,0.533
"679","KLF12","hurdle",0.00376762070794617,-2.782625,-2.240779,0.541846,0.533
"632","IL34","hurdle",0.0106595601967255,-2.957566,-2.409582,0.547984,0.533
"547","GNPDA2","hurdle",9.6395345285841e-05,-2.789718,-2.210716,0.579002,0.533
"457","FAM49A","hurdle",0.00299326000692271,-2.822901,-2.195761,0.62714,0.533
"442","FAAP100","hurdle",0.0267390011656434,-2.766575,-2.248046,0.518529,0.533
"200","CCDC122","hurdle",5.71081702045408e-08,-2.921633,-2.158958,0.762675,0.533
"185","CACNA2D1","hurdle",0.0192797033369242,-2.98729,-2.474475,0.512815,0.533
"114","ARMCX1","hurdle",7.77285839964837e-05,-2.425221,-1.825379,0.599842,0.533
"61","ALDH1B1","hurdle",0.00011831419137323,-2.939314,-2.334536,0.604778,0.533
"58","ALDH18A1","hurdle",0.000194083432978807,-2.602079,-2.098229,0.50385,0.533
"55","AKR1C2","hurdle",0.00792241277877562,-3.174581,-2.582064,0.592517,0.533
"39","ADM","hurdle",0.000323136793925361,-2.094936,-1.537554,0.557382,0.533
"34","ADGRD1","hurdle",4.20772597313383e-13,-3.311317,-2.609306,0.702011,0.533
"1467","XPC","hurdle",0.00248761515026254,-2.309539,-1.742175,0.567364,0.532
"1385","TNN","hurdle",4.79048267160468e-10,-3.289699,-2.461414,0.828285,0.532
"1313","SYNE3","hurdle",0.00759940524314757,-2.898557,-2.311362,0.587195,0.532
"1243","SMO","hurdle",0.000106066428944262,-3.256285,-2.634766,0.621519,0.532
"1214","SLC12A8","hurdle",2.12519193982738e-05,-3.085647,-2.451723,0.633924,0.532
"1176","SDC3","hurdle",0.000433163290443159,-2.814472,-2.219094,0.595378,0.532
"1131","RP1-79C4.4","hurdle",0.00897399560377417,-3.249069,-2.736339,0.51273,0.532
"1098","RBM43","hurdle",2.52819180889232e-05,-2.722349,-2.072089,0.65026,0.532
"1056","PTGIR","hurdle",0.0156576602090689,-2.976999,-2.475297,0.501702,0.532
"960","PGM1","hurdle",0.0172064823272252,-2.438002,-1.928227,0.509775,0.532
"893","NRK","hurdle",2.54202317946318e-10,-3.301679,-2.544595,0.757084,0.532
"834","MTHFD1L","hurdle",0.0172687990518201,-3.12212,-2.545113,0.577007,0.532
"800","MICU3","hurdle",0.000834749939732755,-3.029537,-2.436194,0.593343,0.532
"754","LZTS2","hurdle",0.00165939630541222,-2.558644,-1.988455,0.570189,0.532
"705","LGR4","hurdle",0.00365096117130206,-3.152105,-2.58546,0.566645,0.532
"674","KIF1B","hurdle",0.000635269031527834,-2.447578,-1.885885,0.561693,0.532
"629","IL17RD","hurdle",8.30161960743549e-05,-3.110895,-2.523338,0.587557,0.532
"603","HTR2B","hurdle",2.56385419406747e-05,-3.27837,-2.651851,0.626519,0.532
"591","HMCN2","hurdle",0.000104609195353812,-3.255304,-2.565301,0.690003,0.532
"365","DEPTOR","hurdle",1.71659899741228e-05,-2.396514,-1.797657,0.598857,0.532
"354","DAAM2","hurdle",0.00649635236495172,-2.892424,-2.29794,0.594484,0.532
"236","CERK","hurdle",0.0214539693438476,-2.83284,-2.330997,0.501843,0.532
"210","CD109","hurdle",0.00284834192078927,-2.750971,-2.193834,0.557137,0.532
"199","CC2D2A","hurdle",4.41422075324157e-05,-3.036131,-2.378049,0.658082,0.532
"167","C1orf216","hurdle",0.000930707434735512,-2.983782,-2.434914,0.548868,0.532
"44","AGPAT4","hurdle",0.00132300013989637,-2.950212,-2.43967,0.510542,0.532
"1470","XYLT1","hurdle",0.0111689275484709,-3.159207,-2.598366,0.560841,0.531
"1405","TRPC1","hurdle",0.00278877593562141,-3.237408,-2.629184,0.608224,0.531
"1370","TMEM39B","hurdle",0.000786310907796923,-2.673392,-2.150604,0.522788,0.531
"1362","TMEM158","hurdle",1.40715198821744e-09,-3.277912,-2.51288,0.765032,0.531
"1323","TBL1X","hurdle",0.00744935087037751,-2.857038,-2.246676,0.610362,0.531
"1135","RP11-38H17.1","hurdle",4.20772597313171e-13,-3.321928,-2.554966,0.766962,0.531
"714","LINC01615","hurdle",9.81846075584611e-08,-3.28134,-2.551556,0.729784,0.531
"695","LARP6","hurdle",0.00774663847449121,-2.887279,-2.348994,0.538285,0.531
"636","INMT","hurdle",6.07697742695263e-05,-3.035258,-2.34925,0.686008,0.531
"598","HSD11B1","hurdle",0.00156410895463244,-3.271741,-2.699445,0.572296,0.531
"592","HMG20A","hurdle",4.96584888832058e-06,-2.770863,-2.065436,0.705427,0.531
"585","HEYL","hurdle",0.000353345967157127,-2.88326,-2.197571,0.685689,0.531
"429","EPYC","hurdle",6.33410133657454e-18,-3.321928,-2.269707,1.052221,0.531
"364","DENND5A","hurdle",0.0056408781748969,-2.586299,-2.08161,0.504689,0.531
"240","CH25H","hurdle",0.000363855957809223,-2.558134,-1.980645,0.577489,0.531
"178","C3orf80","hurdle",2.23024818136707e-05,-3.287447,-2.685952,0.601495,0.531
"107","ARHGEF10","hurdle",0.00322221079047428,-2.742663,-2.231466,0.511197,0.531
"78","ANKRD50","hurdle",3.23491082833798e-05,-2.592042,-1.949271,0.642771,0.531
"67","AMPD2","hurdle",0.000536471529673205,-2.92109,-2.359552,0.561538,0.531
"57","AL589743.1","hurdle",6.55810526769231e-05,-3.224659,-2.574917,0.649742,0.531
"54","AKR1C1","hurdle",1.61088006003583e-07,-3.196778,-2.509569,0.687209,0.531
"50","AHSA2","hurdle",0.0112694600816168,-2.278,-1.76465,0.51335,0.531
"46","AGTR1","hurdle",9.16631591578019e-07,-2.985103,-2.263153,0.72195,0.531
"1376","TMEM91","hurdle",6.95523672434179e-05,-2.841286,-2.165598,0.675688,0.53
"1282","SSBP3","hurdle",0.00605077829215801,-2.441938,-1.928522,0.513416,0.53
"1094","RASSF2","hurdle",0.00221327687600995,-3.014414,-2.408896,0.605518,0.53
"1093","RASL11B","hurdle",2.93251617139243e-05,-3.18362,-2.524804,0.658816,0.53
"1074","PVRL3","hurdle",0.0003149979995305,-3.085781,-2.479208,0.606573,0.53
"1066","PTPN9","hurdle",0.0316332572111701,-2.815626,-2.281071,0.534555,0.53
"1052","PTGER3","hurdle",3.30737477410816e-05,-2.686412,-1.98805,0.698362,0.53
"929","PALM","hurdle",5.6087724705641e-05,-2.920961,-2.232597,0.688364,0.53
"860","NEK1","hurdle",0.000552412465850829,-2.414069,-1.842538,0.571531,0.53
"731","LRP11","hurdle",0.00115760315242217,-2.746023,-2.190835,0.555188,0.53
"607","ICK","hurdle",0.000954997279352203,-2.650703,-2.056359,0.594344,0.53
"563","GRP","hurdle",4.07711118824748e-11,-3.269683,-2.342906,0.926777,0.53
"534","GLI1","hurdle",5.24879424409258e-08,-3.30771,-2.633849,0.673861,0.53
"40","ADRA2A","hurdle",0.000251262233885713,-2.825627,-2.22689,0.598737,0.53
"33","ADGRA3","hurdle",1.67386082061423e-06,-3.191361,-2.505364,0.685997,0.53
"1478","ZCCHC14","hurdle",0.0143496846450006,-2.805707,-2.263535,0.542172,0.529
"1368","TMEM237","hurdle",0.0602394795517372,-2.590019,-2.086251,0.503768,0.529
"1315","TAC1","hurdle",6.33410133657713e-18,-3.318327,-2.22975,1.088577,0.529
"1301","STXBP5","hurdle",0.00170808308253396,-2.920624,-2.357778,0.562846,0.529
"1290","ST7","hurdle",0.00150278769102204,-2.977327,-2.3735,0.603827,0.529
"1251","SNX21","hurdle",0.000359377398117557,-2.468061,-1.921866,0.546195,0.529
"1141","RP3-428L16.2","hurdle",6.32202396606841e-07,-3.22261,-2.57808,0.64453,0.529
"1015","POFUT2","hurdle",0.0065369323570773,-2.688853,-2.184777,0.504076,0.529
"977","PLA2R1","hurdle",1.15253225915589e-07,-3.001218,-2.250439,0.750779,0.529
"935","PARD3B","hurdle",0.00024467544864306,-3.00662,-2.402435,0.604185,0.529
"854","NBPF26","hurdle",0.000102052094828595,-2.882479,-2.230555,0.651924,0.529
"850","NAV3","hurdle",2.75013989976737e-09,-3.22571,-2.46184,0.76387,0.529
"709","LIMK1","hurdle",0.00306301064686647,-2.994518,-2.482482,0.512036,0.529
"664","KDELC1","hurdle",0.0469501624050874,-3.172855,-2.658288,0.514567,0.529
"660","KCND2","hurdle",6.74571349352124e-12,-3.315586,-2.65723,0.658356,0.529
"462","FAT4","hurdle",1.64032198801999e-06,-3.088363,-2.382507,0.705856,0.529
"381","DOCK7","hurdle",4.09566338718952e-05,-2.840056,-2.223322,0.616734,0.529
"324","CST2","hurdle",1.17626448779337e-07,-3.315673,-2.609731,0.705942,0.529
"287","COL4A4","hurdle",7.50257695665795e-06,-3.308439,-2.707493,0.600946,0.529
"246","CHL1","hurdle",0.000136463728219624,-3.238316,-2.561912,0.676404,0.529
"196","CBLN4","hurdle",9.92368620660389e-09,-3.252798,-2.431928,0.82087,0.529
"193","CAPN6","hurdle",2.6247528469292e-14,-3.321928,-2.509994,0.811934,0.529
"134","BCS1L","hurdle",0.00192334821140092,-2.650892,-2.102083,0.548809,0.529
"43","AGAP2-AS1","hurdle",0.00520089300368238,-2.659592,-2.153395,0.506197,0.529
"1348","THRA","hurdle",0.000177676322790308,-2.457805,-1.878612,0.579193,0.528
"1291","STARD13","hurdle",0.00760075318957545,-2.592749,-2.088985,0.503764,0.528
"1261","SOX15","hurdle",5.45406656670489e-08,-3.085031,-2.314263,0.770768,0.528
"1250","SNHG23","hurdle",3.91737188535035e-05,-3.241271,-2.595972,0.645299,0.528
"1122","RNF121","hurdle",0.0217145779555003,-2.594509,-2.088028,0.506481,0.528
"1103","RBSN","hurdle",0.00652727033237771,-2.74534,-2.175497,0.569843,0.528
"1029","PRG4","hurdle",1.64803065695413e-14,-3.279165,-2.328179,0.950986,0.528
"890","NR2F2-AS1","hurdle",4.23065402289937e-05,-2.807534,-2.16186,0.645674,0.528
"773","MARK1","hurdle",0.00117432086685489,-3.142684,-2.56879,0.573894,0.528
"678","KIZ","hurdle",0.00104129794285773,-2.586309,-1.985292,0.601017,0.528
"662","KCNMB4","hurdle",4.12163367242921e-10,-3.261514,-2.515665,0.745849,0.528
"307","CPT1C","hurdle",0.000918800306183653,-3.18002,-2.60831,0.57171,0.528
"237","CES1","hurdle",0.000200579035113888,-2.980175,-2.307598,0.672577,0.528
"113","ARMC9","hurdle",0.000368683269566669,-2.975017,-2.343301,0.631716,0.528
"11","AC010226.4","hurdle",0.0109100537867347,-3.120945,-2.545444,0.575501,0.528
"1497","ZNF575","hurdle",0.000190179606813582,-3.147375,-2.55579,0.591585,0.527
"1457","WDR86","hurdle",0.000650472049962171,-2.977648,-2.352597,0.625051,0.527
"1425","TXLNA","hurdle",2.87172313148709e-05,-2.481263,-1.871224,0.610039,0.527
"1137","RP11-401O9.4","hurdle",0.000160487030691733,-3.306464,-2.715284,0.59118,0.527
"1130","RP1-78O14.1","hurdle",2.81189561162705e-08,-3.320781,-2.659425,0.661356,0.527
"1120","RNASEL","hurdle",0.0028356765806099,-2.956563,-2.382122,0.574441,0.527
"810","MMP13","hurdle",1.79328614271875e-15,-3.31003,-2.060653,1.249377,0.527
"801","MID1","hurdle",0.00566715233018675,-2.906616,-2.387035,0.519581,0.527
"745","LSS","hurdle",0.0348710790668565,-2.903288,-2.390357,0.512931,0.527
"739","LRRC49","hurdle",0.166600897724667,-3.031798,-2.506055,0.525743,0.527
"566","GSTM1","hurdle",3.63250515645882e-05,-2.984431,-2.336541,0.64789,0.527
"449","FAM168B","hurdle",0.000556055870682207,-2.593063,-2.040496,0.552567,0.527
"448","FAM168A","hurdle",0.000694427576187739,-2.915306,-2.392657,0.522649,0.527
"349","CYP2U1","hurdle",0.0204876989496188,-3.078489,-2.559809,0.51868,0.527
"35","ADGRL2","hurdle",0.00269839772819093,-2.898471,-2.347426,0.551045,0.527
"27","ADAMTSL2","hurdle",0.000123500151339918,-3.1495,-2.56981,0.57969,0.527
"1462","WNT2B","hurdle",0.000311771689427666,-3.165763,-2.55495,0.610813,0.526
"1224","SLC38A7","hurdle",0.00614184482085073,-3.084066,-2.564938,0.519128,0.526
"1078","QPCT","hurdle",0.000663314657947109,-2.913224,-2.392626,0.520598,0.526
"944","PDE4A","hurdle",0.0285554942995856,-2.708896,-2.202391,0.506505,0.526
"789","MEST","hurdle",2.70604539125132e-05,-2.55273,-1.978166,0.574564,0.526
"755","MAB21L1","hurdle",5.13624925370896e-06,-3.285002,-2.65893,0.626072,0.526
"727","LRCH3","hurdle",0.00131658169910809,-2.565213,-2.055052,0.510161,0.526
"720","LONRF1","hurdle",0.000593750701232792,-2.793234,-2.243738,0.549496,0.526
"594","HOXA10","hurdle",1.73367621970168e-05,-2.914723,-2.269964,0.644759,0.526
"579","HDAC4","hurdle",0.00073655602434365,-2.976881,-2.460423,0.516458,0.526
"574","HAND2","hurdle",9.3565124962409e-07,-3.309336,-2.746978,0.562358,0.526
"494","FMO4","hurdle",0.00018126643515932,-3.06952,-2.433178,0.636342,0.526
"366","DERL3","hurdle",0.00016508937659812,-2.995672,-2.406419,0.589253,0.526
"340","CXCL10","hurdle",1.81006479186876e-06,-2.947353,-1.818568,1.128785,0.526
"186","CACNB4","hurdle",0.000956033114712272,-3.228188,-2.670226,0.557962,0.526
"88","AP001347.6","hurdle",8.18282221847686e-07,-3.226177,-2.611493,0.614684,0.526
"1494","ZNF519","hurdle",2.45456877201806e-06,-3.090342,-2.412697,0.677645,0.525
"1375","TMEM59L","hurdle",6.74571349352119e-12,-3.318999,-2.698298,0.620701,0.525
"1360","TMEM131","hurdle",0.000404422363003088,-2.525764,-1.981978,0.543786,0.525
"1032","PRICKLE2-AS1","hurdle",2.17324691062162e-06,-3.251534,-2.691898,0.559636,0.525
"996","PLP1","hurdle",3.59892654706136e-10,-3.316288,-2.66856,0.647728,0.525
"976","PLA2G2A","hurdle",3.48984929894588e-14,-2.986466,-1.767162,1.219304,0.525
"962","PHC2","hurdle",0.00234075613577223,-2.543742,-2.0359,0.507842,0.525
"671","KIAA1324L","hurdle",0.0054358317835979,-3.030598,-2.491074,0.539524,0.525
"617","IGDCC4","hurdle",1.63526842297138e-05,-3.309745,-2.707895,0.60185,0.525
"248","CHPF2","hurdle",1.17157594259424e-06,-2.719354,-2.082333,0.637021,0.525
"234","CEP126","hurdle",0.000297660901282977,-2.725274,-2.131607,0.593667,0.525
"233","CENPW","hurdle",8.49168364837213e-06,-2.833585,-2.186412,0.647173,0.525
"64","ALX4","hurdle",6.6097966104677e-10,-3.317088,-2.634173,0.682915,0.525
"29","ADAMTSL4","hurdle",0.000561946474077481,-3.140826,-2.55641,0.584416,0.525
