"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.T_cells","log2fold_change","Auc"
"439","RGS2","hurdle",2.53795290232377e-63,-1.6531869,-0.2710436,1.3821433,0.602
"414","PTPN22","hurdle",5.75412509916222e-102,-3.139563,-0.9571661,2.1823969,0.6
"276","ITGB2","hurdle",8.72255392922939e-66,-2.4008498,-0.8028398,1.59801,0.599
"86","CD247","hurdle",2.17404056119729e-115,-3.292431,-1.091799,2.200632,0.598
"36","ARHGAP15","hurdle",7.32751640935737e-82,-2.5499925,-0.7893372,1.7606553,0.598
"501","SLC2A3","hurdle",3.16765770763988e-43,-0.75394977,0.07750819,0.83145796,0.597
"172","EZR","hurdle",5.19578942748119e-116,-0.3370604,0.3728999,0.7099603,0.597
"293","KLRD1","hurdle",4.00631932467883e-113,-3.234282,-0.820313,2.413969,0.595
"170","EVI2B","hurdle",3.7436365613017e-78,-2.8179185,-0.9518882,1.8660303,0.595
"325","LSP1","hurdle",1.89481016430068e-53,-1.9152211,-0.6029712,1.3122499,0.594
"168","ETS1","hurdle",7.77399731442113e-74,-2.1999102,-0.7234025,1.4765077,0.594
"44","ARL4C","hurdle",1.12890654764563e-86,-2.5030118,-0.8005661,1.7024457,0.593
"209","GNG2","hurdle",1.14728677395862e-84,-2.948798,-1.01104,1.937758,0.592
"124","COTL1","hurdle",4.41053032120695e-62,-1.3744308,-0.2360215,1.1384093,0.592
"121","CNOT6L","hurdle",1.07315325050417e-114,-2.003052,-0.487761,1.515291,0.592
"482","SELL","hurdle",5.38690906908759e-85,-2.8811737,-0.9004009,1.9807728,0.591
"481","SELK","hurdle",2.62245153866061e-146,-0.203225,0.3975291,0.6007541,0.591
"40","ARHGAP9","hurdle",2.07381381519694e-86,-3.073087,-1.108701,1.964386,0.591
"205","GLIPR1","hurdle",3.94541666186195e-71,-2.0941053,-0.6419068,1.4521985,0.589
"83","CCR7","hurdle",2.47006003605269e-74,-2.8467508,-0.8982636,1.9484872,0.589
"108","CDC42SE2","hurdle",2.39181934612062e-105,-2.146201,-0.578187,1.568014,0.588
"385","PIK3IP1","hurdle",1.30160500085836e-105,-2.3629958,-0.7135607,1.6494351,0.587
"238","HMGB2","hurdle",3.91946565816708e-121,-1.20127137,-0.04632363,1.15494774,0.586
"280","ITM2A","hurdle",2.2062480805299e-46,-1.246474,-0.264935,0.981539,0.585
"227","GZMM","hurdle",6.16114387557278e-98,-3.280458,-1.227224,2.053234,0.585
"87","CD27","hurdle",2.06751631922039e-82,-3.103093,-1.13359,1.969503,0.585
"55","BIN2","hurdle",4.93525195357714e-82,-3.094492,-1.188106,1.906386,0.585
"586","XCL1","hurdle",1.11166882344023e-97,-3.2993316,-0.8097498,2.4895818,0.584
"288","KIAA1551","hurdle",4.9033285528157e-92,-1.9614297,-0.5704743,1.3909554,0.584
"399","PRDM1","hurdle",2.2989610231412e-77,-2.6134208,-0.8765406,1.7368802,0.583
"255","IKZF1","hurdle",2.02100955227249e-78,-3.056976,-1.222206,1.83477,0.583
"505","SMAP2","hurdle",2.83338239554819e-84,-2.4699353,-0.8821195,1.5878158,0.582
"369","PARP8","hurdle",4.54048271099518e-93,-2.7911884,-0.9731948,1.8179936,0.582
"251","IFNG","hurdle",3.11749831749654e-95,-3.2924058,-0.8210802,2.4713256,0.582
"243","HSPH1","hurdle",2.84402394857707e-95,-0.3171179,0.4518732,0.7689911,0.582
"169","EVI2A","hurdle",7.01331077719384e-77,-2.968557,-1.130359,1.838198,0.582
"32","APOBEC3G","hurdle",6.48502115041499e-95,-2.6823887,-0.9327628,1.7496259,0.582
"587","XCL2","hurdle",1.00348456382302e-91,-3.2942662,-0.9414912,2.352775,0.581
"528","TBC1D10C","hurdle",4.6386193536809e-77,-3.148426,-1.329563,1.818863,0.581
"446","RORA","hurdle",9.98558674493706e-109,-2.1101599,-0.6134314,1.4967285,0.581
"365","OXNAD1","hurdle",9.37191517106116e-93,-2.950265,-1.074763,1.875502,0.581
"271","IPCEF1","hurdle",3.46759622470408e-93,-3.272815,-1.258278,2.014537,0.581
"231","HCLS1","hurdle",1.36469848320862e-60,-2.2638342,-0.8629018,1.4009324,0.581
"104","CD8A","hurdle",4.80831390780432e-94,-3.258404,-1.057672,2.200732,0.58
"100","CD6","hurdle",5.54913887193036e-89,-3.26677,-1.34653,1.92024,0.58
"16","ADGRE5","hurdle",6.43172907110446e-69,-2.4285125,-0.8947501,1.5337624,0.58
"585","WIPF1","hurdle",2.03870435790588e-66,-2.25894,-0.845213,1.413727,0.579
"520","STK17A","hurdle",6.6390639088033e-87,-1.9957346,-0.6301258,1.3656088,0.579
"449","RP11-138A9.2","hurdle",2.77486402509645e-84,-2.0938802,-0.6480384,1.4458418,0.579
"435","REL","hurdle",5.11489645374572e-122,-0.91245009,0.05923958,0.97168967,0.579
"171","EVL","hurdle",4.74228766744525e-104,-1.0828394,-0.1735902,0.9092492,0.579
"489","SH2D2A","hurdle",3.68122367096331e-83,-3.203595,-1.324651,1.878944,0.578
"412","PTGER4","hurdle",3.7693319106598e-69,-2.654966,-0.9963895,1.6585765,0.578
"366","P2RY10","hurdle",4.16645485848001e-72,-3.147081,-1.317573,1.829508,0.577
"154","DOK2","hurdle",3.98822358216202e-73,-3.118742,-1.307757,1.810985,0.577
"258","IL10RA","hurdle",2.18857950031262e-61,-2.898344,-1.236763,1.661581,0.575
"301","LAT","hurdle",9.7629995657365e-80,-3.101425,-1.330287,1.771138,0.574
"43","ARID5B","hurdle",7.99098541041822e-86,-0.6270159,0.1169172,0.7439331,0.574
"558","TRAF3IP3","hurdle",5.72528228776738e-70,-3.083224,-1.347097,1.736127,0.573
"445","RNF19A","hurdle",3.93597833891944e-125,-1.448909,-0.2758245,1.1730845,0.572
"506","SMCHD1","hurdle",1.05428146395911e-95,-1.5741048,-0.4097673,1.1643375,0.571
"153","DOCK8","hurdle",1.11436284479223e-54,-2.574578,-1.149607,1.424971,0.571
"105","CD8B","hurdle",1.77673080973678e-78,-3.262593,-1.295397,1.967196,0.571
"420","PYHIN1","hurdle",3.38738687681388e-85,-3.289282,-1.452935,1.836347,0.57
"311","LINC-PINT","hurdle",8.6414189952191e-84,-1.8022234,-0.5099484,1.292275,0.57
"211","GPBP1","hurdle",1.86762397681483e-132,-0.62988669,0.06258154,0.69246823,0.57
"486","SEPT6","hurdle",4.89665325476908e-82,-1.9109117,-0.6540141,1.2568976,0.569
"131","CTLA4","hurdle",2.86870830006973e-81,-3.281413,-1.290241,1.991172,0.569
"65","CARD16","hurdle",2.88609713553654e-72,-2.0643289,-0.6927698,1.3715591,0.569
"210","GNLY","hurdle",7.96345251220494e-83,-3.0663256,-0.6051486,2.461177,0.568
"160","EMB","hurdle",3.32881233127941e-87,-2.5967849,-0.9965053,1.6002796,0.568
"224","GZMB","hurdle",4.41075787953101e-66,-3.117531,-1.062821,2.05471,0.567
"7","AC016831.7","hurdle",1.96832852460553e-70,-2.925525,-1.217171,1.708354,0.567
"540","TMEM2","hurdle",9.19236009691937e-65,-1.6753477,-0.5863218,1.0890259,0.566
"416","PTPN7","hurdle",4.39713566934888e-64,-3.158662,-1.488748,1.669914,0.566
"198","GBP5","hurdle",7.18703917006009e-62,-3.047235,-1.410753,1.636482,0.565
"30","APBB1IP","hurdle",1.8366424783634e-51,-2.915753,-1.457245,1.458508,0.565
"53","BCL11B","hurdle",8.68725814960747e-71,-3.255284,-1.564422,1.690862,0.564
"225","GZMH","hurdle",1.55784565379164e-72,-3.310172,-1.237128,2.073044,0.562
"592","ZC3HAV1","hurdle",1.40357181019205e-83,-1.2632235,-0.3385702,0.9246533,0.561
"386","PIK3R1","hurdle",4.42075012877707e-83,-1.6009385,-0.4671589,1.1337796,0.561
"257","IKZF3","hurdle",7.05870563082635e-62,-3.224417,-1.590698,1.633719,0.561
"221","GTF2B","hurdle",3.31780301956585e-91,-1.4503715,-0.4465655,1.003806,0.56
"177","FAM46C","hurdle",1.1121083130998e-71,-2.3137932,-0.9400954,1.3736978,0.56
"88","CD28","hurdle",5.06957061883265e-69,-3.301358,-1.596052,1.705306,0.56
"23","ANKRD44","hurdle",2.73814065462833e-51,-2.83046,-1.353729,1.476731,0.559
"570","TRGC2","hurdle",1.28366573871885e-64,-3.304762,-1.546751,1.758011,0.558
"485","SEPT1","hurdle",1.22669774941931e-57,-2.673252,-1.308009,1.365243,0.558
"390","PLAC8","hurdle",1.44917076230582e-46,-3.018585,-1.51407,1.504515,0.558
"360","NR3C1","hurdle",4.92290019738093e-87,-1.3374709,-0.3620965,0.9753744,0.558
"94","CD40LG","hurdle",1.8224000395644e-66,-3.296746,-1.50739,1.789356,0.558
"550","TNFRSF9","hurdle",1.06074961001657e-65,-3.265988,-1.500658,1.76533,0.557
"113","CKLF","hurdle",8.13832026310769e-72,-1.9671864,-0.7596135,1.2075729,0.557
"75","CCL4L2","hurdle",2.08490904249973e-36,-2.3539918,-0.7204722,1.6335196,0.557
"589","ZAP70","hurdle",1.06706519619094e-59,-3.301333,-1.818198,1.483135,0.556
"510","SP140","hurdle",4.02117828040596e-49,-3.123735,-1.61597,1.507765,0.556
"403","PRKCH","hurdle",1.67478901676821e-56,-2.323362,-1.101357,1.222005,0.556
"127","CRTAM","hurdle",3.0634055806108e-59,-3.244789,-1.445151,1.799638,0.556
