"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Cancer_Epithelial","log2fold_change","Auc"
"1523","MRPL4","hurdle",4.72774628127906e-28,-1.6753155,-0.7920613,0.8832542,0.647
"988","GDE1","hurdle",7.92154772036747e-22,-2.240717,-1.157373,1.083344,0.647
"856","ESRP1","hurdle",1.70115329556503e-43,-3.073271,-1.509168,1.564103,0.647
"668","DCAF6","hurdle",4.23889101503902e-26,-2.290843,-1.180898,1.109945,0.647
"292","C14orf1","hurdle",1.27819913519835e-18,-1.917202,-1.034379,0.882823,0.647
"2858","WDR34","hurdle",8.64045794372106e-24,-2.452773,-1.260889,1.191884,0.646
"2842","VPS28","hurdle",1.23187561246934e-43,-0.4839771,0.160491,0.6444681,0.646
"2682","TNFSF10","hurdle",1.29782071306282e-41,-0.8343192,-0.06722929,0.76708991,0.646
"2424","SPG21","hurdle",7.02410293817479e-28,-1.606853,-0.752315,0.854538,0.646
"2262","SELT","hurdle",1.08471436091697e-41,-0.9390647,-0.2674412,0.6716235,0.646
"1993","PSMD8","hurdle",1.88221545537244e-48,-0.84374,-0.1154181,0.7283219,0.646
"1982","PRSS22","hurdle",8.10907147810737e-59,-3.008445,-1.414133,1.594312,0.646
"1844","PHB","hurdle",3.06680882239811e-42,-1.1931517,-0.4005688,0.7925829,0.646
"1814","PDZD11","hurdle",4.39052006237929e-24,-2.087794,-1.13497,0.952824,0.646
"1811","PDIA4","hurdle",3.95535839276973e-28,-1.6223663,-0.7008759,0.9214904,0.646
"1772","P4HB","hurdle",3.75009334454076e-53,-0.4642614,0.184476,0.6487374,0.646
"1636","NDUFA10","hurdle",4.10550360183755e-26,-1.5389212,-0.7167438,0.8221774,0.646
"1517","MRPL27","hurdle",7.87065560647018e-31,-1.6384314,-0.7338701,0.9045613,0.646
"1379","LSM1","hurdle",1.07524184566788e-48,-1.7643537,-0.8164915,0.9478622,0.646
"1146","HNRNPU","hurdle",1.23256635827159e-46,-0.62165236,0.00935251,0.63100487,0.646
"567","COPZ1","hurdle",3.03679797718309e-34,-1.3029603,-0.5041942,0.7987661,0.646
"2593","TM9SF2","hurdle",1.99182422422074e-16,-1.6668293,-0.8229095,0.8439198,0.645
"2310","SLC12A2","hurdle",6.57637549936041e-38,-2.257441,-1.008332,1.249109,0.645
"2147","ROGDI","hurdle",1.19520289124621e-26,-2.689002,-1.39697,1.292032,0.645
"1620","NAT1","hurdle",1.5817499823527e-96,-3.140256,-1.060289,2.079967,0.645
"1417","MAP7","hurdle",1.11350088203815e-48,-2.936467,-1.40854,1.527927,0.645
"192","ATP6AP1","hurdle",3.69118910206162e-37,-1.4326534,-0.5344206,0.8982328,0.645
"163","ARSD","hurdle",3.17000027519175e-22,-2.585742,-1.363201,1.222541,0.645
"31","ACADSB","hurdle",2.69136169037758e-65,-2.693342,-1.2044,1.488942,0.645
"2948","ZNF703","hurdle",1.49429582881193e-65,-2.2098886,-0.8230713,1.3868173,0.644
"2630","TMEM183A","hurdle",2.73178782920884e-21,-1.935768,-1.000927,0.934841,0.644
"1816","PDZK1IP1","hurdle",6.25099266270805e-63,-2.871453,-1.262094,1.609359,0.644
"1478","MLF1","hurdle",3.69105418136006e-40,-2.0872569,-0.9915257,1.0957312,0.644
"900","FAM214A","hurdle",1.21327092500253e-41,-2.337167,-1.141806,1.195361,0.644
"898","FAM213A","hurdle",2.15486412945358e-33,-1.694328,-0.782932,0.911396,0.644
"559","COPB2","hurdle",2.64719510894772e-21,-1.7435522,-0.8895454,0.8540068,0.644
"418","CCDC47","hurdle",1.1843865196781e-35,-1.639147,-0.7564566,0.8826904,0.644
"356","C9orf116","hurdle",3.47303839174484e-43,-3.169078,-1.588519,1.580559,0.644
"286","C11orf1","hurdle",1.671774411812e-24,-2.272171,-1.177212,1.094959,0.644
"207","ATRAID","hurdle",4.18426376873981e-49,-0.761772,-0.1081322,0.6536398,0.644
"2452","SRSF9","hurdle",3.11510613112215e-36,-1.2630975,-0.4947352,0.7683623,0.643
"1730","NUDCD2","hurdle",2.21061727212731e-22,-1.8335511,-0.9593534,0.8741977,0.643
"1377","LRRFIP2","hurdle",3.59747167771674e-38,-1.6682277,-0.6807873,0.9874404,0.643
"1372","LRRC59","hurdle",6.26743032203572e-23,-1.860305,-0.9477752,0.9125298,0.643
"1140","HN1","hurdle",8.53612112905826e-61,-0.9900917,-0.3375198,0.6525719,0.643
"709","DMKN","hurdle",2.89653034647989e-52,-2.55655,-1.171762,1.384788,0.643
"680","DDT","hurdle",1.89091123230164e-44,-1.2853867,-0.4413912,0.8439955,0.643
"643","CYB561D2","hurdle",1.72055648833192e-30,-2.434718,-1.290803,1.143915,0.643
"357","C9orf142","hurdle",2.28743975194457e-29,-1.2508046,-0.5377803,0.7130243,0.643
"276","BRWD1","hurdle",2.63793442606144e-25,-1.86736,-0.957416,0.909944,0.643
"133","ARF4","hurdle",2.07559325963817e-33,-0.3449766,0.2611902,0.6061668,0.643
"2958","ZNF91","hurdle",5.82604904144215e-29,-2.263105,-1.192919,1.070186,0.642
"2741","TSPAN15","hurdle",2.08159938349713e-49,-2.355903,-1.046482,1.309421,0.642
"2495","SUPT4H1","hurdle",1.76523668278016e-33,-1.1443691,-0.3580173,0.7863518,0.642
"2459","SSSCA1","hurdle",2.6388250096727e-31,-2.025174,-1.005578,1.019596,0.642
"2356","SLC40A1","hurdle",1.71683814918205e-42,-1.5278302,-0.4428569,1.0849733,0.642
"2084","RARRES3","hurdle",2.54400783145517e-50,-0.4492873,0.2171143,0.6664016,0.642
"1903","PNPLA2","hurdle",1.32497011301216e-22,-1.1476634,-0.4278059,0.7198575,0.642
"1318","LAMTOR1","hurdle",2.16796030480501e-39,-0.784059,-0.1293218,0.6547372,0.642
"877","FAM102A","hurdle",1.91442925068314e-34,-2.067083,-1.110492,0.956591,0.642
"446","CDC42SE1","hurdle",1.3497996596346e-42,-1.4930809,-0.7774489,0.715632,0.642
"239","BCKDK","hurdle",3.13631618937535e-20,-2.094543,-1.127262,0.967281,0.642
"2398","SNHG7","hurdle",4.92694804843926e-47,-1.5678186,-0.6673909,0.9004277,0.641
"2042","RAB18","hurdle",1.64902446792998e-33,-1.5644342,-0.7287807,0.8356535,0.641
"1851","PHLDA2","hurdle",6.36755097712859e-39,-1.3380183,-0.3057917,1.0322266,0.641
"1752","OLA1","hurdle",6.18132429057611e-30,-1.450772,-0.67638,0.774392,0.641
"1384","LSM7","hurdle",5.63456336710365e-38,-0.8947154,-0.2612774,0.633438,0.641
"1235","IRF6","hurdle",5.1403518827063e-44,-2.808217,-1.358108,1.450109,0.641
"1234","IRF2BP2","hurdle",3.67932774184929e-26,-1.2964596,-0.5346453,0.7618143,0.641
"1088","HAX1","hurdle",1.12707435871171e-39,-1.150163,-0.5008304,0.6493326,0.641
"881","FAM110A","hurdle",1.52838639876045e-31,-2.696801,-1.38872,1.308081,0.641
"544","COA5","hurdle",1.01020649515058e-23,-2.11068,-1.076161,1.034519,0.641
"535","CNIH1","hurdle",1.1739484214933e-35,-1.1330792,-0.4555965,0.6774827,0.641
"2883","YIPF6","hurdle",7.47654776899234e-42,-1.802996,-0.911952,0.891044,0.64
"2742","TSPO","hurdle",5.14990945677825e-70,-0.2126736,0.3658662,0.5785398,0.64
"2492","SUMO1","hurdle",3.30944606030026e-54,-0.49227819,0.08873973,0.58101792,0.64
"2253","SEC14L2","hurdle",1.94374654221129e-50,-2.86216,-1.269111,1.593049,0.64
"1930","PPA1","hurdle",1.11351449006878e-49,-0.8604794,-0.1845803,0.6758991,0.64
"1822","PET100","hurdle",5.45491983811688e-29,-1.3427725,-0.5765549,0.7662176,0.64
"1808","PDCD5","hurdle",1.38947241696494e-29,-1.1587984,-0.4580031,0.7007953,0.64
"1749","OCLN","hurdle",1.28943669385855e-35,-2.960274,-1.529829,1.430445,0.64
"1592","MYB","hurdle",2.433602055445e-49,-3.139847,-1.510891,1.628956,0.64
"1028","GOLPH3","hurdle",1.65930069354471e-25,-1.6814525,-0.8908922,0.7905603,0.64
"947","FLNB","hurdle",3.7150388486694e-25,-1.8293897,-0.8105029,1.0188868,0.64
"241","BCL2L1","hurdle",4.59029444106082e-16,-2.028267,-1.078753,0.949514,0.64
"165","ARV1","hurdle",7.75194865522083e-25,-2.559469,-1.381947,1.177522,0.64
"2931","ZNF428","hurdle",3.10312749342973e-23,-1.3110376,-0.5931165,0.7179211,0.639
"2881","YIPF2","hurdle",5.9193006589489e-29,-2.290219,-1.183475,1.106744,0.639
"2712","TRAP1","hurdle",1.36670863491461e-26,-2.206313,-1.169836,1.036477,0.639
"2656","TMEM50B","hurdle",2.78803161371023e-31,-1.4308214,-0.7022932,0.7285282,0.639
"2545","TCTN1","hurdle",4.51318785373128e-26,-2.483332,-1.341793,1.141539,0.639
"2448","SRPK2","hurdle",5.7558745377284e-26,-1.5087088,-0.7411626,0.7675462,0.639
"2315","SLC22A18","hurdle",2.61275007284367e-29,-2.714257,-1.482623,1.231634,0.639
"1880","PKP3","hurdle",6.61986136961769e-23,-2.948624,-1.616627,1.331997,0.639
"1513","MRPL21","hurdle",3.36090809959043e-35,-1.7536623,-0.8683439,0.8853184,0.639
"1137","HMGN2","hurdle",3.81649462159105e-54,-0.1241575,0.4272192,0.5513767,0.639
"1093","HDGF","hurdle",7.9562467935449e-19,-2.118451,-1.14953,0.968921,0.639
"997","GFRA1","hurdle",1.27182013950239e-60,-2.794875,-1.188442,1.606433,0.639
"941","FIBP","hurdle",3.36974150144768e-36,-1.5878459,-0.7731294,0.8147165,0.639
"916","FAM96A","hurdle",3.92017750972566e-21,-1.576625,-0.848306,0.728319,0.639
"557","COPA","hurdle",3.6408663973139e-23,-1.6156258,-0.8023691,0.8132567,0.639
"336","C4orf48","hurdle",2.67801370614849e-58,-1.6528808,-0.4267058,1.226175,0.639
"309","C19orf33","hurdle",9.35775421716855e-53,-3.051557,-1.432217,1.61934,0.639
"110","AP000769.1","hurdle",7.90277117647763e-55,-2.1098513,-0.7131898,1.3966615,0.639
"2761","TWF1","hurdle",9.53781035603486e-19,-2.055992,-1.121035,0.934957,0.638
"2522","TATDN1","hurdle",1.2914943689628e-22,-1.9202093,-0.9930173,0.927192,0.638
"2457","SSR3","hurdle",7.81291007901612e-57,-0.73313669,-0.09678741,0.63634928,0.638
"1959","PRDX5","hurdle",4.31072588318018e-45,-0.4470744,0.1528661,0.5999405,0.638
"1453","MFSD3","hurdle",9.69199081354791e-30,-2.979522,-1.639271,1.340251,0.638
"1432","MBOAT7","hurdle",1.37343316441179e-28,-2.537578,-1.370202,1.167376,0.638
"1381","LSM3","hurdle",3.57053912814084e-20,-0.9472927,-0.2977544,0.6495383,0.638
"1342","LINC00665","hurdle",8.23082966161737e-37,-2.91602,-1.517329,1.398691,0.638
"1233","IQCK","hurdle",6.43077558324219e-32,-2.550793,-1.370345,1.180448,0.638
"755","DYNLRB1","hurdle",1.17751640009205e-33,-0.5523683,0.07677426,0.62914256,0.638
"193","ATP6AP2","hurdle",1.21226503582027e-35,-0.8275135,-0.1487728,0.6787407,0.638
"152","ARL16","hurdle",6.38696260923059e-28,-1.962023,-1.010577,0.951446,0.638
"2627","TMEM165","hurdle",1.19921864120998e-26,-1.055579,-0.410176,0.645403,0.637
"2300","SIAH2","hurdle",1.3205913150428e-25,-2.312775,-1.185447,1.127328,0.637
"2113","RHEB","hurdle",4.05234797258292e-39,-0.8089856,-0.166809,0.6421766,0.637
"2108","RGS10","hurdle",1.9835730198214e-49,-1.4313039,-0.7433829,0.687921,0.637
"2081","RAMP1","hurdle",5.94694764064947e-58,-2.679791,-1.148909,1.530882,0.637
"1974","PRR13","hurdle",1.43018199529187e-61,-0.66255723,-0.08731056,0.57524667,0.637
"1904","PNPLA4","hurdle",2.90793052067405e-23,-2.600392,-1.456484,1.143908,0.637
"1688","NME1","hurdle",5.44713135863047e-48,-2.1332827,-0.9667885,1.1664942,0.637
"1541","MRPS14","hurdle",3.09955659057772e-21,-2.021204,-1.082324,0.93888,0.637
"1510","MRPL17","hurdle",1.2752431783196e-17,-1.929688,-1.044229,0.885459,0.637
"1438","MDK","hurdle",1.66391013301829e-40,-0.93006495,-0.02486441,0.90520054,0.637
"654","CYP4Z1","hurdle",5.58696592727313e-109,-3.0582046,-0.9879603,2.0702443,0.637
"568","COQ4","hurdle",1.72416700862717e-18,-1.932108,-1.061989,0.870119,0.637
"115","AP2A1","hurdle",5.40335763887758e-18,-2.061029,-1.118554,0.942475,0.637
"67","AGTRAP","hurdle",2.89718882741335e-20,-1.7575112,-0.9475544,0.8099568,0.637
"2902","ZDHHC24","hurdle",7.79987304429538e-21,-2.173157,-1.230486,0.942671,0.636
"2888","YWHAE","hurdle",3.31469734414114e-49,-0.3539374,0.2123727,0.5663101,0.636
"2484","SUB1","hurdle",3.07763367916594e-56,0.3113673,0.8464403,0.535073,0.636
"2471","STEAP2","hurdle",1.47459978102553e-47,-2.919224,-1.424891,1.494333,0.636
"2437","SPTSSB","hurdle",3.83190055903297e-81,-3.157852,-1.260687,1.897165,0.636
"1626","NBPF14","hurdle",1.02473225028937e-43,-2.344991,-1.124963,1.220028,0.636
"1524","MRPL40","hurdle",1.55212442307116e-22,-1.6912001,-0.8722709,0.8189292,0.636
"1520","MRPL34","hurdle",1.06811503900584e-22,-1.5176407,-0.7712257,0.746415,0.636
"1507","MRPL13","hurdle",2.4469666696297e-28,-1.7530083,-0.8675446,0.8854637,0.636
"1361","LRBA","hurdle",3.4071132237366e-23,-2.380042,-1.325279,1.054763,0.636
"1359","LONP2","hurdle",9.16380046131448e-27,-1.853646,-0.9871776,0.8664684,0.636
"1352","LMAN2","hurdle",3.44116456399694e-34,-1.0146314,-0.3288304,0.685801,0.636
"1289","KIF9","hurdle",6.04441132957982e-22,-2.344777,-1.283727,1.06105,0.636
"1224","INADL","hurdle",8.50278379575677e-23,-2.665713,-1.448096,1.217617,0.636
"1143","HNRNPA0","hurdle",1.51732191620239e-44,-0.3467212,0.2315837,0.5783049,0.636
"972","GADD45G","hurdle",4.7165912940443e-45,-2.2358732,-0.9230927,1.3127805,0.636
"660","DALRD3","hurdle",1.06093763699848e-29,-2.059153,-1.039862,1.019291,0.636
"632","CTTN","hurdle",6.54083364903549e-25,-1.8508256,-0.9589356,0.89189,0.636
"434","CCT6A","hurdle",6.99488520835455e-31,-1.0718145,-0.4107191,0.6610954,0.636
"375","CAMTA1","hurdle",3.17524594035936e-27,-1.2814138,-0.5684663,0.7129475,0.636
"2840","VPS25","hurdle",1.00222100633646e-35,-2.033766,-1.003981,1.029785,0.635
"2445","SRI","hurdle",1.19979602924057e-45,-0.7447023,-0.1161062,0.6285961,0.635
"2146","RNPS1","hurdle",3.7436244625789e-42,-0.9688681,-0.3493032,0.6195649,0.635
"2036","RAB10","hurdle",1.82680805131906e-17,-1.3944311,-0.6949434,0.6994877,0.635
"1444","MESP1","hurdle",4.93326473770868e-60,-3.076946,-1.42778,1.649166,0.635
"1182","IAH1","hurdle",9.41870155470014e-18,-1.6557142,-0.9486294,0.7070848,0.635
"731","DPM2","hurdle",6.72079292635745e-15,-2.041565,-1.144923,0.896642,0.635
"354","C8orf59","hurdle",4.029617060925e-26,-0.8327249,-0.2343423,0.5983826,0.635
"281","BUB3","hurdle",8.96213822580077e-36,-1.1862083,-0.4004679,0.7857404,0.635
"218","B4GALT3","hurdle",4.29387513079388e-18,-2.119787,-1.202154,0.917633,0.635
"156","ARL8B","hurdle",7.12996038878102e-25,-1.917178,-1.016617,0.900561,0.635
"71","AIG1","hurdle",1.37045843830045e-22,-1.958043,-1.043925,0.914118,0.635
"2625","TMEM159","hurdle",2.2053808462381e-28,-2.101539,-1.102557,0.998982,0.634
"2166","RP11-53O19.1","hurdle",1.45734750269576e-109,-3.079028,-1.037355,2.041673,0.634
"2041","RAB17","hurdle",2.42862609168535e-34,-3.098481,-1.684365,1.414116,0.634
"1954","PQLC3","hurdle",1.09909062470454e-25,-1.6765792,-0.8437075,0.8328717,0.634
"1931","PPA2","hurdle",5.1990081620155e-23,-2.014892,-1.097877,0.917015,0.634
"1914","POLR1D","hurdle",3.20978485081471e-42,-0.9343406,-0.3179937,0.6163469,0.634
"1430","MB","hurdle",3.9546962820719e-41,-3.094181,-1.631543,1.462638,0.634
"1215","IL6ST","hurdle",1.42048999497706e-29,-0.72040996,-0.05058058,0.66982938,0.634
"1126","HIST3H2A","hurdle",1.78483261012556e-24,-2.488036,-1.359226,1.12881,0.634
"373","CAMLG","hurdle",6.79223296841865e-41,-1.1144658,-0.4461627,0.6683031,0.634
"24","AC018816.3","hurdle",6.53564254399717e-103,-3.046966,-1.140865,1.906101,0.634
"2889","YWHAG","hurdle",4.39898040550821e-16,-1.7765357,-0.9641125,0.8124232,0.633
"2696","TP53I11","hurdle",2.50729906636876e-18,-2.196881,-1.252254,0.944627,0.633
"2600","TMCO3","hurdle",2.73938940266541e-33,-2.385357,-1.254444,1.130913,0.633
"2119","RHOV","hurdle",3.70042228436605e-59,-2.908711,-1.357356,1.551355,0.633
"1831","PEX2","hurdle",7.77624516328305e-20,-2.068566,-1.132903,0.935663,0.633
"1746","OCEL1","hurdle",1.91981716809386e-19,-2.474069,-1.421219,1.05285,0.633
"1712","NR2F6","hurdle",4.68934889834875e-49,-2.712601,-1.362537,1.350064,0.633
"1331","LGALS3BP","hurdle",3.61719477647846e-37,-0.9787976,-0.1001671,0.8786305,0.633
"1295","KLHDC2","hurdle",4.55496266287098e-18,-1.7138605,-0.9146072,0.7992533,0.633
"1176","HSPA4","hurdle",3.07485365795074e-19,-1.6842081,-0.9691859,0.7150222,0.633
"1170","HSD17B10","hurdle",1.47962017727069e-23,-1.5738591,-0.8034059,0.7704532,0.633
"630","CTSD","hurdle",7.23098830350043e-36,-0.5064985,0.1012256,0.6077241,0.633
"423","CCDC74A","hurdle",1.20064491714703e-46,-2.994118,-1.324773,1.669345,0.633
"383","CAPRIN1","hurdle",5.70153073770933e-14,-1.836838,-1.013328,0.82351,0.633
"224","BAIAP2","hurdle",1.49682482714897e-22,-2.021234,-1.106264,0.91497,0.633
"2765","TXNL1","hurdle",1.16177570247476e-27,-1.2954853,-0.6140197,0.6814656,0.632
"2677","TMUB1","hurdle",2.72066778813164e-25,-1.969299,-1.081863,0.887436,0.632
"2629","TMEM179B","hurdle",6.01223966765613e-24,-1.0570436,-0.4078993,0.6491443,0.632
"2571","THSD4","hurdle",9.00970395732143e-22,-2.911364,-1.598468,1.312896,0.632
"2037","RAB11A","hurdle",1.43651253933977e-48,-0.7135401,-0.1343362,0.5792039,0.632
"1910","POLD4","hurdle",4.50181809097492e-47,-1.6918161,-0.7541235,0.9376926,0.632
"1858","PIGC","hurdle",1.08700315355996e-20,-2.10955,-1.18123,0.92832,0.632
"1655","NDUFB5","hurdle",3.21427318350731e-38,-1.2157837,-0.5482053,0.6675784,0.632
"1412","MANBAL","hurdle",3.84814014759753e-12,-2.359236,-1.362964,0.996272,0.632
"1309","KRT23","hurdle",7.0417030809896e-92,-2.6993577,-0.8877111,1.8116466,0.632
"826","ENY2","hurdle",8.9363205832218e-52,-0.52064989,0.02915595,0.54980584,0.632
"786","EHF","hurdle",4.91137445230298e-77,-2.869391,-1.211169,1.658222,0.632
"32","ACBD3","hurdle",4.92494060800337e-26,-2.279987,-1.266886,1.013101,0.632
"2585","TJP3","hurdle",1.17946273765136e-29,-3.15489,-1.750866,1.404024,0.631
"2456","SSNA1","hurdle",8.73604622088267e-18,-1.4674982,-0.7596276,0.7078706,0.631
"2386","SMIM7","hurdle",9.55949539297904e-21,-1.902876,-1.069311,0.833565,0.631
"2107","RGL2","hurdle",6.51460098916389e-12,-2.012682,-1.148028,0.864654,0.631
"1932","PPCS","hurdle",2.27142521331424e-17,-1.5044357,-0.7749998,0.7294359,0.631
"794","EIF2S3","hurdle",1.63061087902689e-26,-1.0631647,-0.4610997,0.602065,0.631
"476","CFD","hurdle",2.28543052125621e-62,-1.3762542,-0.5964177,0.7798365,0.631
"279","BTF3L4","hurdle",9.95643914436159e-25,-1.5389194,-0.8086056,0.7303138,0.631
"2551","TEX264","hurdle",3.70156060195299e-19,-1.5229935,-0.7902381,0.7327554,0.63
"2482","STXBP2","hurdle",3.66927447123472e-19,-2.539979,-1.477481,1.062498,0.63
"2363","SLC7A8","hurdle",8.1122638479472e-43,-2.912524,-1.424489,1.488035,0.63
"2065","RABGGTB","hurdle",7.83762541283359e-29,-1.6265637,-0.9119162,0.7146475,0.63
"1942","PPP1CA","hurdle",4.13482398037114e-35,-0.992103,-0.3564315,0.6356715,0.63
"1344","LINC00993","hurdle",1.03620011160652e-64,-3.186754,-1.491827,1.694927,0.63
"1301","KNOP1","hurdle",2.42510515575936e-20,-2.179495,-1.246969,0.932526,0.63
"1214","IL20RA","hurdle",1.76096242790943e-32,-2.849194,-1.532785,1.316409,0.63
"932","FDFT1","hurdle",1.4961213556921e-17,-1.6030832,-0.8207076,0.7823756,0.63
"865","EXOSC4","hurdle",3.64468571210345e-18,-2.390284,-1.34008,1.050204,0.63
"628","CTNNA1","hurdle",2.34973589496538e-20,-1.338669,-0.6305637,0.7081053,0.63
"457","CDS1","hurdle",4.51413703003287e-26,-3.004474,-1.68942,1.315054,0.63
"282","BUD31","hurdle",9.47931299066803e-29,-1.1497579,-0.5334488,0.6163091,0.63
"264","BOLA1","hurdle",1.25226746691109e-25,-2.717909,-1.513506,1.204403,0.63
"2820","USMG5","hurdle",6.10717128330928e-44,-0.297888,0.2377985,0.5356865,0.629
"2596","TMBIM4","hurdle",6.00387804218578e-35,-1.4982404,-0.6781522,0.8200882,0.629
"2487","SUDS3","hurdle",3.56679845876285e-19,-2.064871,-1.188888,0.875983,0.629
"2316","SLC22A5","hurdle",1.5866969616764e-48,-3.063943,-1.525904,1.538039,0.629
"2307","SIVA1","hurdle",4.36810159298004e-26,-0.8656667,-0.2819711,0.5836956,0.629
"2296","SHISA2","hurdle",1.26595308813001e-90,-2.962021,-1.111429,1.850592,0.629
"2087","RASEF","hurdle",2.27246948269283e-27,-2.827564,-1.578286,1.249278,0.629
"1866","PIGX","hurdle",2.11432917787944e-16,-2.42612,-1.411833,1.014287,0.629
"1729","NUCKS1","hurdle",2.03488071069455e-31,-0.441793,0.1165893,0.5583823,0.629
"1581","MTX2","hurdle",1.79150545380324e-13,-2.020442,-1.196172,0.82427,0.629
"1451","METTL9","hurdle",1.23489517696265e-27,-1.2221565,-0.5818765,0.64028,0.629
"1186","ICT1","hurdle",1.62261544511554e-26,-2.46382,-1.327832,1.135988,0.629
"869","F12","hurdle",1.43899764401431e-46,-3.193857,-1.733573,1.460284,0.629
"838","EPS8L2","hurdle",2.65100008005679e-28,-2.763726,-1.509536,1.25419,0.629
"837","EPS8L1","hurdle",1.02312091840661e-24,-2.890928,-1.620482,1.270446,0.629
"721","DNAJC4","hurdle",1.91895747853685e-26,-1.7228846,-0.8925174,0.8303672,0.629
"555","COMT","hurdle",4.56365406083076e-27,-1.0091718,-0.3681633,0.6410085,0.629
"2867","WEE1","hurdle",5.10223686767701e-36,-2.509721,-1.280178,1.229543,0.628
"2844","VPS37A","hurdle",2.25056974315008e-59,-2.318674,-1.021275,1.297399,0.628
"2611","TMEM123","hurdle",1.1975984197664e-31,-1.0562119,-0.3974994,0.6587125,0.628
"2461","ST13","hurdle",3.29397790110702e-43,-0.4503233,0.117381,0.5677043,0.628
"1767","OVOL1","hurdle",2.31264168282663e-56,-3.189514,-1.571234,1.61828,0.628
"1744","OAT","hurdle",5.01312489946588e-27,-1.023353,-0.4271445,0.5962085,0.628
"1555","MRPS7","hurdle",2.04094721142285e-32,-1.4509658,-0.6513616,0.7996042,0.628
"1546","MRPS23","hurdle",1.58374852186907e-35,-2.099299,-1.04301,1.056289,0.628
"1394","LYPD6B","hurdle",1.12385606060575e-45,-3.176538,-1.672192,1.504346,0.628
"1338","LINC00467","hurdle",6.51550553767326e-33,-2.827357,-1.560295,1.267062,0.628
"1019","GNB2","hurdle",5.01795933578228e-29,-0.6871947,-0.1095551,0.5776396,0.628
"879","FAM104A","hurdle",1.15333231068414e-20,-2.31965,-1.34745,0.9722,0.628
"481","CH17-340M24.3","hurdle",1.32644255626702e-35,-2.785691,-1.448051,1.33764,0.628
"452","CDK5RAP3","hurdle",1.40917330909438e-19,-1.5830914,-0.8843269,0.6987645,0.628
"436","CD151","hurdle",2.96588488603987e-46,-0.3536985,0.1883802,0.5420787,0.628
"223","BAG1","hurdle",1.85583635009851e-24,-1.3051532,-0.5945435,0.7106097,0.628
"202","ATP6V1H","hurdle",1.36426094668309e-17,-2.036751,-1.122635,0.914116,0.628
"20","ABRACL","hurdle",2.63893062000454e-38,-0.9915034,-0.4503154,0.541188,0.628
"2882","YIPF3","hurdle",1.71131138392584e-29,-1.2648258,-0.5740915,0.6907343,0.627
"2766","TXNL4A","hurdle",4.62640753805206e-19,-1.906898,-1.12908,0.777818,0.627
"2489","SULT2B1","hurdle",3.22759173870897e-26,-3.067708,-1.695321,1.372387,0.627
"2399","SNHG8","hurdle",5.70401994853698e-46,-0.3900524,0.1566635,0.5467159,0.627
"2202","RTN4","hurdle",1.49416372967324e-63,-0.2109825,0.3244518,0.5354343,0.627
"1961","PRELID3B","hurdle",6.60455422459606e-25,-1.877592,-1.171927,0.705665,0.627
"1843","PGRMC2","hurdle",8.99911016734105e-18,-2.296253,-1.342266,0.953987,0.627
"1575","MTL5","hurdle",6.50187899688685e-33,-3.126478,-1.697869,1.428609,0.627
"1435","MCTS1","hurdle",8.66476120221786e-23,-1.607449,-0.899658,0.707791,0.627
"1397","LYRM1","hurdle",7.93910389446493e-16,-2.192871,-1.293319,0.899552,0.627
"1350","LLGL2","hurdle",4.90836934296389e-30,-2.809421,-1.564688,1.244733,0.627
"1324","LARS","hurdle",9.40147635593871e-21,-1.931945,-1.129309,0.802636,0.627
"1283","KIF12","hurdle",2.54712663591361e-43,-3.10517,-1.580005,1.525165,0.627
"1200","IFT43","hurdle",1.63540136252765e-12,-1.931579,-1.191802,0.739777,0.627
"956","FOPNL","hurdle",1.07294789310788e-20,-2.314597,-1.391619,0.922978,0.627
"717","DNAJC12","hurdle",1.81243667964761e-79,-2.924201,-1.145365,1.778836,0.627
"692","DHPS","hurdle",2.15541876007728e-25,-1.769584,-1.002593,0.766991,0.627
"583","COX7B","hurdle",2.94952283676912e-55,-0.244215,0.2570487,0.5012637,0.627
"582","COX7A2L","hurdle",8.95957801394928e-46,-0.59519518,-0.05334679,0.54184839,0.627
"2569","THOC7","hurdle",1.30351280280064e-12,-1.574597,-0.8583543,0.7162427,0.626
"2555","TFAP2C","hurdle",1.29708352441029e-30,-2.716615,-1.489731,1.226884,0.626
"2312","SLC19A2","hurdle",7.02599276867393e-25,-2.559569,-1.423032,1.136537,0.626
"2011","PTRH1","hurdle",1.69364119827813e-14,-2.475309,-1.477444,0.997865,0.626
"1995","PSMG3","hurdle",1.89047748188394e-21,-2.324316,-1.349,0.975316,0.626
"1871","PIN4","hurdle",9.40933918128937e-22,-1.6287022,-0.9130361,0.7156661,0.626
"1870","PIM3","hurdle",4.10581359285793e-24,-1.0349365,-0.3414744,0.6934621,0.626
"1661","NDUFS2","hurdle",1.36966203923031e-10,-1.5920141,-0.8560128,0.7360013,0.626
"1476","MKRN1","hurdle",1.01143320451781e-23,-1.915036,-1.076591,0.838445,0.626
"1385","LSR","hurdle",6.4999140849041e-25,-2.140029,-1.195786,0.944243,0.626
"1336","LINC00116","hurdle",2.76892135839664e-19,-1.7874903,-0.9771188,0.8103715,0.626
"1108","HILPDA","hurdle",6.81950429747485e-36,-2.730759,-1.42508,1.305679,0.626
"886","FAM120AOS","hurdle",7.45683937770563e-20,-2.075815,-1.235066,0.840749,0.626
